dataset_id	sample_id	K	baseline_method_id	delta_spatial_coherence	delta_marker_coherence	bayesspace_note	baseline_note
GSE311294	GSM9322958_TR11_16184	4	M0_expr_kmeans	0.18943249252013805	0.6458161534023901	rigor-backfill-v4-GSE311294-GSM9322958_TR11_16184	stage3a-full-replication
GSE311294	GSM9322958_TR11_16184	4	M1_spatial_concat_kmeans	0.189361492520138	0.6462631534023902	rigor-backfill-v4-GSE311294-GSM9322958_TR11_16184	stage3a-full-replication
GSE311294	GSM9322958_TR11_16184	4	M2_spatial_ward	0.026393492520138007	0.7895731534023901	rigor-backfill-v4-GSE311294-GSM9322958_TR11_16184	stage3a-full-replication-m2
GSE311294	GSM9322958_TR11_16184	4	M3_spatial_leiden	-0.059934507479861954	0.7929241534023901	rigor-backfill-v4-GSE311294-GSM9322958_TR11_16184	stage3a-full-replication
GSE311294	GSM9322958_TR11_16184	4	M4_spagcn	0.05080149252013799	0.7316441534023901	rigor-backfill-v4-GSE311294-GSM9322958_TR11_16184	stage3a-full-replication-m4
GSE311294	GSM9322958_TR11_16184	4	M5_stagate	0.080862492520138	0.7733421534023901	rigor-backfill-v4-GSE311294-GSM9322958_TR11_16184	stage3a-full-replication-m5
GSE311294	GSM9322958_TR11_16184	6	M0_expr_kmeans	0.21252035673187608	0.7106138292458201	rigor-backfill-v4-GSE311294-GSM9322958_TR11_16184	stage3a-full-replication
GSE311294	GSM9322958_TR11_16184	6	M1_spatial_concat_kmeans	0.21297835673187604	0.7107698292458201	rigor-backfill-v4-GSE311294-GSM9322958_TR11_16184	stage3a-full-replication
GSE311294	GSM9322958_TR11_16184	6	M2_spatial_ward	-0.004265643268123953	0.6814478292458201	rigor-backfill-v4-GSE311294-GSM9322958_TR11_16184	stage3a-full-replication-m2
GSE311294	GSM9322958_TR11_16184	6	M3_spatial_leiden	-0.0929176432681239	1.06224682924582	rigor-backfill-v4-GSE311294-GSM9322958_TR11_16184	stage3a-full-replication
GSE311294	GSM9322958_TR11_16184	6	M4_spagcn	0.09306735673187605	0.7311668292458201	rigor-backfill-v4-GSE311294-GSM9322958_TR11_16184	stage3a-full-replication-m4
GSE311294	GSM9322958_TR11_16184	6	M5_stagate	0.057811356731876096	0.8254698292458201	rigor-backfill-v4-GSE311294-GSM9322958_TR11_16184	stage3a-full-replication-m5
GSE311294	GSM9322959_TR11_18105	4	M0_expr_kmeans	0.11371332244195997	-0.21871172699698005	rigor-backfill-v4-GSE311294-GSM9322959_TR11_18105	stage3a-full-replication
GSE311294	GSM9322959_TR11_18105	4	M1_spatial_concat_kmeans	0.11439432244196002	-0.21741972699697998	rigor-backfill-v4-GSE311294-GSM9322959_TR11_18105	stage3a-full-replication
GSE311294	GSM9322959_TR11_18105	4	M2_spatial_ward	-0.029266677558040022	0.20454427300302003	rigor-backfill-v4-GSE311294-GSM9322959_TR11_18105	stage3a-full-replication-m2
GSE311294	GSM9322959_TR11_18105	4	M3_spatial_leiden	-0.06338967755804004	0.14911827300301994	rigor-backfill-v4-GSE311294-GSM9322959_TR11_18105	stage3a-full-replication
GSE311294	GSM9322959_TR11_18105	4	M4_spagcn	0.12226732244196004	-0.11660072699697999	rigor-backfill-v4-GSE311294-GSM9322959_TR11_18105	stage3a-full-replication-m4
GSE311294	GSM9322959_TR11_18105	4	M5_stagate	0.04013632244195997	0.06395527300301995	rigor-backfill-v4-GSE311294-GSM9322959_TR11_18105	stage3a-full-replication-m5
GSE311294	GSM9322959_TR11_18105	6	M0_expr_kmeans	0.13943013776631308	0.17764750502883797	rigor-backfill-v4-GSE311294-GSM9322959_TR11_18105	stage3a-full-replication
GSE311294	GSM9322959_TR11_18105	6	M1_spatial_concat_kmeans	0.13929413776631305	0.175949505028838	rigor-backfill-v4-GSE311294-GSM9322959_TR11_18105	stage3a-full-replication
GSE311294	GSM9322959_TR11_18105	6	M2_spatial_ward	-0.04869886223368691	0.6125385050288379	rigor-backfill-v4-GSE311294-GSM9322959_TR11_18105	stage3a-full-replication-m2
GSE311294	GSM9322959_TR11_18105	6	M3_spatial_leiden	-0.09380286223368695	0.5201675050288379	rigor-backfill-v4-GSE311294-GSM9322959_TR11_18105	stage3a-full-replication
GSE311294	GSM9322959_TR11_18105	6	M4_spagcn	0.12379813776631299	0.17078250502883796	rigor-backfill-v4-GSE311294-GSM9322959_TR11_18105	stage3a-full-replication-m4
GSE311294	GSM9322959_TR11_18105	6	M5_stagate	0.038446137766313004	0.09248150502883801	rigor-backfill-v4-GSE311294-GSM9322959_TR11_18105	stage3a-full-replication-m5
GSE311294	GSM9322960_TR11_21723	4	M0_expr_kmeans	0.097973183374083	-0.12611684395296008	rigor-backfill-v4-GSE311294-GSM9322960_TR11_21723	stage3a-full-replication
GSE311294	GSM9322960_TR11_21723	4	M1_spatial_concat_kmeans	0.097552183374083	-0.12567584395295994	rigor-backfill-v4-GSE311294-GSM9322960_TR11_21723	stage3a-full-replication
