dataset_id	sample_id	official_method_id	method_label	K	feature_type	feature_id	genes_used	reference_id	official_reference_delta	n_alternatives	minimum_delta	maximum_delta	official_delta_range	n_sign_state_changes_vs_reference	official_any_sign_state_change_vs_reference	n_direction_reversals_vs_reference	official_any_direction_reversal_vs_reference	n_zero_involved_changes_vs_reference	all_partitions_same_direction	reference_block_delta	median_block_delta	n_partitions_with_evaluable_blocks	n_block_direction_reversals_vs_reference	any_block_direction_reversal_vs_reference	current_method_id	current_reference_delta	current_delta_range	current_any_direction_reversal_vs_reference	current_any_sign_state_change_vs_reference	reference_delta_sign_agrees
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	signature	SIG_EXCLUSION_CONTRAST	CAF:FAP,COL1A1,DCN,COL3A1,LUM;MY:SPP1,LST1,TYROBP,C1QA,C1QB,C1QC;TCELL:TRAC,CD3D,CD3E,CD247	seed_11	-0.5741116673654043	2	-0.6853554606047543	-0.5741116673654043	0.1112437932393499	0	False	0	False	0	1	0.1081123709198803	0.0632889663440774	3	0	False	BayesSpace	-0.6758262179987089	0.0345130153792441	False	False	True
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	signature	SIG_EXCLUSION_TGFB_CXCL12	TGFB1,CXCL12,ACTA2,TAGLN,FAP,COL1A1	seed_11	-0.3038141003805866	2	-0.3731572293856584	-0.3038141003805866	0.0693431290050717	0	False	0	False	0	1	0.0134989995503738	0.0080982955396982	3	1	True	BayesSpace	-0.3772730469994302	0.010722736765362	False	False	True
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	signature	SIG_MY_SPP1	SPP1,LST1,TYROBP,C1QA,C1QB,C1QC	seed_11	0.0808875621729398	2	0.0736581249002055	0.0808875621729398	0.0072294372727342	0	False	0	False	0	1	0.0254746596582315	0.0021316203091997	3	0	False	BayesSpace	0.0914904490706162	0.0211021218752487	False	False	True
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	signature	SIG_TCELL	TRAC,CD3D,CD3E,CD247	seed_11	0.0	2	0.0	0.0	0.0	0	False	0	False	0	1	0.0	0.0	3	0	False	BayesSpace	0.0	0.0	False	False	True
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	gene	SPP1	SPP1	seed_11	0.1900899022130102	2	0.1572441362845889	0.1900899022130102	0.0328457659284212	0	False	0	False	0	1	0.0	0.0	3	0	False	BayesSpace	0.1944615379806401	0.0367839524564735	False	False	True
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	gene	COL1A1	COL1A1	seed_11	0.4430418393273454	2	0.0534009084398525	0.4667996974052086	0.4133987889653561	0	False	0	False	0	1	0.1611991109267676	0.1611991109267676	3	0	False	BayesSpace	0.2947836381924076	0.3480433520627404	False	False	True
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	gene	EPCAM	EPCAM	seed_11	-0.3918377682966087	2	-0.3918377682966087	0.1629792199503676	0.5548169882469765	1	True	1	True	0	0	0.0	0.0	3	0	False	BayesSpace	-0.1311986576220754	0.4456892043104921	True	True	True
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	gene	FAP	FAP	seed_11	0.0	2	0.0	0.0	0.0	0	False	0	False	0	1	0.0	0.0	3	0	False	BayesSpace	0.0	0.0	False	False	True
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	gene	PTPRC	PTPRC	seed_11	0.0	2	0.0	0.0	0.0	0	False	0	False	0	1	0.0	0.0	3	0	False	BayesSpace	0.0	0.0	False	False	True
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	signature	SIG_CAF_FAP	FAP,COL1A1,DCN,COL3A1,LUM	seed_11	0.2457875694074203	2	-0.1021143482405575	0.2674789076465065	0.369593255887064	1	True	1	True	0	0	0.0412617544443076	0.0412617544443076	3	1	True	BayesSpace	0.0883974004408036	0.2987533268956532	True	True	True
