dataset_id	sample_id	official_method_id	method_label	K	n_alternatives	official_median_ari	official_min_ari	official_max_ari	n_below_0_60	n_union_switching	official_union_switching_fraction	current_method_id	current_median_ari	current_min_ari	current_max_ari	current_union_switching_fraction	delta_median_ari_official_minus_current	delta_union_switching_fraction_official_minus_current
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	2	0.9755868639147716	0.9748206294386088	0.976353098390934	0	65	0.0138592750533049	BayesSpace	0.9336165394204852	0.928817202824643	0.9384158760163274	0.0379530916844349	0.04197032449428639	-0.02409381663113
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	2	0.7870169698208964	0.7852420245283863	0.7887919151134066	0	875	0.1865671641791045	BayesSpace	0.7428829444093978	0.7402681426551235	0.7454977461636721	0.2021321961620469	0.04413402541149858	-0.015565031982942401
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	2	0.7116770456254818	0.4502686709438485	0.9730854203071152	1	1302	0.3479422768572955	BayesSpace	0.4471075107117613	0.3223038194294929	0.5719112019940297	0.5403527525387494	0.26456953491372054	-0.19241047568145386
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	2	0.5777063615395578	0.5446228416598097	0.6107898814193059	1	1589	0.4246392303580972	BayesSpace	0.6087620532065916	0.5416056338642015	0.6759184725489816	0.415820416889364	-0.031055691667033813	0.0088188134687332
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	2	0.8110258686757454	0.6556310584478146	0.9664206789036764	0	719	0.1957527906343588	BayesSpace	0.7695069878578139	0.6023154570081374	0.9366985187074904	0.2414919684181867	0.041518880817931536	-0.04573917778382791
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	2	0.5538018123031635	0.5236968433208414	0.5839067812854856	2	1573	0.4282602777021508	BayesSpace	0.5190295205205366	0.498869144059121	0.5391898969819523	0.4206370814048462	0.03477229178262686	0.007623196297304624
GSE267401	GSM8265211_CTC21P	Official_STAGATE_pyG	Official_STAGATE_pyG	4	2	0.9459440638081305	0.9454619202925524	0.9464262073237084	0	121	0.0257995735607675	M5_stagate	0.8025131240389889	0.7814710671088025	0.8235551809691752	0.1582089552238806	0.14343093976914156	-0.13240938166311308
GSE267401	GSM8265211_CTC21P	Official_STAGATE_pyG	Official_STAGATE_pyG	6	2	0.9061058979146912	0.901568508441724	0.9106432873876588	0	234	0.0498933901918976	M5_stagate	0.5190001395652433	0.4286622587407422	0.6093380203897443	0.5609808102345416	0.38710575834944794	-0.511087420042644
GSE311294	GSM9322957_TR11_206	Official_STAGATE_pyG	Official_STAGATE_pyG	4	2	0.982702196463822	0.9818274295064796	0.9835769634211642	0	26	0.0069481560662747	M5_stagate	0.5890197742925809	0.4169336881962351	0.7611058603889268	0.3388562266167825	0.39368242217124105	-0.3319080705505078
GSE311294	GSM9322957_TR11_206	Official_STAGATE_pyG	Official_STAGATE_pyG	6	2	0.975787923187056	0.9739701551274252	0.9776056912466866	0	48	0.0128273650454302	M5_stagate	0.6545850049194575	0.5461594768528572	0.7630105329860579	0.2835382148583645	0.3212029182675985	-0.2707108498129343
GSE311294	GSM9322959_TR11_18105	Official_STAGATE_pyG	Official_STAGATE_pyG	4	2	0.995137995689232	0.9929039619407942	0.9973720294376696	0	9	0.0024503130955622	M5_stagate	0.4981080194471819	0.4729992892181607	0.5232167496762032	0.4522188946365369	0.4970299762420501	-0.4497685815409747
GSE311294	GSM9322959_TR11_18105	Official_STAGATE_pyG	Official_STAGATE_pyG	6	2	0.996566022071872	0.99603438158441	0.997097662559334	0	8	0.0021780560849441	M5_stagate	0.5599749700994141	0.4666817036905976	0.6532682365082306	0.3969507214810781	0.43659105197245784	-0.394772665396134
GSE267401	GSM8265211_CTC21P	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	4	2	0.4659169117403084	0.4538735955979723	0.4779602278826446	2	1448	0.3087420042643923	M4_spagcn	0.9002420176041155	0.885481926038385	0.915002109169846	0.0987206823027718	-0.43432510586380707	0.2100213219616205
GSE267401	GSM8265211_CTC21P	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	6	2	0.4592991981652998	0.4095206064724822	0.5090777898581176	2	2504	0.5339019189765458	M4_spagcn	0.5300146053898268	0.3962430651378623	0.6637861456417914	0.435820895522388	-0.07071540722452702	0.09808102345415781
GSE311294	GSM9322957_TR11_206	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	4	2	0.7797049207152806	0.7548074389488058	0.8046024024817554	0	444	0.1186531266702298	M4_spagcn	0.906931579401652	0.8980296230419237	0.9158335357613804	0.0505077498663816	-0.1272266586863714	0.06814537680384819
GSE311294	GSM9322957_TR11_206	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	6	2	0.4781401179681249	0.473495553593898	0.4827846823423517	2	1813	0.4845002672367717	M4_spagcn	0.8506665355248676	0.8433771651601655	0.8579559058895697	0.0863174772848744	-0.3725264175567427	0.39818278995189726
GSE311294	GSM9322959_TR11_18105	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	4	2	0.5925259993581129	0.528441539966942	0.6566104587492837	1	991	0.2698066975224612	M4_spagcn	0.4287037200482387	0.4211998952567619	0.4362075448397156	0.3174516743806153	0.1638222793098742	-0.04764497685815405
GSE311294	GSM9322959_TR11_18105	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	6	2	0.538401088529334	0.4380988400100644	0.6387033370486037	1	1635	0.4451402123604683	M4_spagcn	0.4719940080694922	0.4545131655362555	0.4894748506027289	0.4707323713585625	0.06640708045984178	-0.025592158998094194
