dataset_id	sample_id	official_method_id	K	official_switching_fraction	official_fraction_switching_in_union_boundary	official_risk_ratio	official_jaccard_switching_union_boundary	current_method_id	current_switching_fraction	current_fraction_switching_in_union_boundary	current_risk_ratio	current_jaccard_switching_union_boundary	delta_switching_fraction_official_minus_current	delta_fraction_switching_in_union_boundary_official_minus_current	delta_risk_ratio_official_minus_current	delta_jaccard_switching_union_boundary_official_minus_current
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	4	0.0090618336886993	1.0	3.6379888651551413	0.0321987653782492	BayesSpace	0.024946695095948802	1.0	3.585258774356137	0.08399303764827226	-0.0158848614072495	0.0	0.05273009079900426	-0.05179427227002306
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	6	0.18113006396588485	0.6809866278666944	1.502637887870751	0.22335962841335522	BayesSpace	0.18944562899786777	0.706253246012946	1.524596595345897	0.23683636585347084	-0.008315565031982913	-0.02526661814625164	-0.021958707475146166	-0.013476737440115627
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	4	0.17717797969000532	0.7472910216718266	4.199882580709038	0.18261240420819763	BayesSpace	0.29676643506146444	0.6333888617764096	2.082671428186086	0.3417635874399573	-0.11958845537145912	0.11390215989541697	2.117211152522952	-0.15915118323175964
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	6	0.29756814537680387	0.8385562831306517	1.6545851869199462	0.3815421593749519	BayesSpace	0.25173703901656863	0.8698189715138868	1.5853910275762821	0.3307038770770288	0.04583110636023524	-0.03126268838323509	0.06919415934366402	0.05083828229792309
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	4	0.1016879934658317	0.7322948328267478	2.6766539878561657	0.1334111006608857	BayesSpace	0.13095562210726924	0.7799539170506913	2.729669127757268	0.18365801179070054	-0.029267628641437546	-0.04765908422394349	-0.053015139901102515	-0.05024691112981483
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	6	0.2689899264906071	0.6906128107427475	1.810650834821447	0.3389033457616335	BayesSpace	0.28015246392594606	0.7355179406483738	1.824227008040085	0.36123733334304176	-0.01116253743533896	-0.04490512990562634	-0.013576173218638132	-0.022333987581408254
GSE267401	GSM8265211_CTC21P	Official_STAGATE_pyG	4	0.0191897654584221	1.0	1.835242450202038	0.0346638322034144	M5_stagate	0.11641791044776115	0.9734126771146415	3.657428998388081	0.32231048311504995	-0.09722814498933904	0.026587322885358478	-1.822186548186043	-0.28764665091163555
GSE267401	GSM8265211_CTC21P	Official_STAGATE_pyG	6	0.0430703624733475	0.9603484235063183	1.5793457242091589	0.06618440236417761	M5_stagate	0.32718550106609806	0.7652891731948887	1.576321235469626	0.3800351784558313	-0.28411513859275056	0.19505925031142968	0.00302448873953276	-0.3138507760916537
GSE311294	GSM9322957_TR11_206	Official_STAGATE_pyG	4	0.0056119722073757	1.0	2.276537567515974	0.01268445253327825	M5_stagate	0.2049706039551042	0.9730775912744027	1.970946493097019	0.31808456185535594	-0.1993586317477285	0.026922408725597258	0.30559107441895494	-0.3054001093220777
GSE311294	GSM9322957_TR11_206	Official_STAGATE_pyG	6	0.00908605024051305	1.0	1.804381986712814	0.01627619204751685	M5_stagate	0.1664885088188134	0.9982332155477032	1.743582305078278	0.25423451236527417	-0.15740245857830037	0.0017667844522968323	0.060799681634535974	-0.23795832031775732
GSE311294	GSM9322959_TR11_18105	Official_STAGATE_pyG	4	0.0016335420637081	1.0	2.9265762170790106	0.0047600361371596496	M5_stagate	0.3351483800707868	0.7778607680735341	2.06381945527087	0.44543012175039814	-0.3335148380070787	0.2221392319264659	0.8627567618081406	-0.4406700856132385
GSE311294	GSM9322959_TR11_18105	Official_STAGATE_pyG	6	0.00136128505309005	1.0	2.5063209906285833	0.0034041428432312996	M5_stagate	0.24734549414647428	0.9348664163902964	1.8893351965051082	0.3598578134606511	-0.24598420909338423	0.06513358360970356	0.6169857941234751	-0.3564536706174198
GSE267401	GSM8265211_CTC21P	Official_SpaGCN_v1_2_7	4	0.2498933901918976	0.9333589958939904	1.2762541040070143	0.291936738554867	M4_spagcn	0.0717484008528784	0.705710370031978	1.9272514342367033	0.12343325992887726	0.1781449893390192	0.2276486258620124	-0.650997330229689	0.16850347862598974
GSE267401	GSM8265211_CTC21P	Official_SpaGCN_v1_2_7	6	0.3402985074626866	0.9074000701476342	1.197283559225553	0.36020834785032396	M4_spagcn	0.2846481876332622	0.8702283713952326	1.1259539232884301	0.29197263237590937	0.055650319829424366	0.03717169875240167	0.07132963593712294	0.0682357154744146
GSE311294	GSM9322957_TR11_206	Official_SpaGCN_v1_2_7	4	0.07950293960448955	1.0	1.633991970329829	0.12360638001863056	M4_spagcn	0.03834847675040085	1.0	2.24216923315221	0.0819288086241023	0.0411544628540887	0.0	-0.6081772628223812	0.041677571394528254
GSE311294	GSM9322957_TR11_206	Official_SpaGCN_v1_2_7	6	0.2830037413148049	0.9389969819559494	1.291884647604094	0.3303393598265179	M4_spagcn	0.0650721539283805	0.9979338842975206	1.6810628689349998	0.10472029900743166	0.21793158738642437	-0.05893690234157123	-0.38917822133090585	0.22561906081908625
GSE311294	GSM9322959_TR11_18105	Official_SpaGCN_v1_2_7	4	0.18731282330520005	0.9869843715606427	1.4507427764624377	0.24775704718941785	M4_spagcn	0.279063435883474	0.7599770642201835	1.3287169443163225	0.3062751758650085	-0.09175061257827394	0.22700730734045915	0.12202583214611518	-0.05851812867559067
GSE311294	GSM9322959_TR11_18105	Official_SpaGCN_v1_2_7	6	0.2756602232507486	0.9874266496417083	1.3293568118965151	0.3297878299167025	M4_spagcn	0.28491696161176144	0.9048709083811965	1.4455975257495166	0.3515339090291801	-0.009256738361012817	0.0825557412605118	-0.1162407138530015	-0.021746079112477557
