panel_id	dataset_id	sample_id	method_id	sensitivity_factor	factor_value	K	control_type	metric_name	metric_value	metric_ci_lower	metric_ci_upper	notes
Fig3A	GSE311294	GSM9322961_TR16_23542	M4_spagcn	K	4	4	none	spatial_coherence_median	0.868792			stage3a-full-replication-m4
Fig3A	GSE311294	GSM9322961_TR16_23542	M4_spagcn	K	6	6	none	spatial_coherence_median	0.821794			stage3a-full-replication-m4
Fig3A	GSE267401	GSM8265211_CTC21P	M4_spagcn	K	4	4	none	spatial_coherence_median	0.869865			stage3b-full-replication-m4
Fig3A	GSE267401	GSM8265211_CTC21P	M4_spagcn	K	6	6	none	spatial_coherence_median	0.755757			stage3b-full-replication-m4
Fig3A	GSE267401	GSM8265212_CTC21M	M4_spagcn	K	4	4	none	spatial_coherence_median	0.722322			stage3b-full-replication-m4
Fig3A	GSE267401	GSM8265212_CTC21M	M4_spagcn	K	6	6	none	spatial_coherence_median	0.755385			stage3b-full-replication-m4
Fig3A	GSE267401	GSM8265213_CTC17P	M4_spagcn	K	4	4	none	spatial_coherence_median	0.813491			stage3b-full-replication-m4
Fig3A	GSE267401	GSM8265213_CTC17P	M4_spagcn	K	6	6	none	spatial_coherence_median	0.822628			stage3b-full-replication-m4
Fig3A	GSE267401	GSM8265214_CTC17M	M4_spagcn	K	4	4	none	spatial_coherence_median	0.621943			stage3b-full-replication-m4
Fig3A	GSE267401	GSM8265214_CTC17M	M4_spagcn	K	6	6	none	spatial_coherence_median	0.603672			stage3b-full-replication-m4
Fig3A	GSE311294	GSM9322957_TR11_206	M5_stagate	K	4	4	none	spatial_coherence_median	0.909318			stagate-smoke
Fig3A	GSE311294	GSM9322957_TR11_206	M5_stagate	K	4	4	none	spatial_coherence_median	0.911545			stagate-fast-smoke
Fig3A	GSE311294	GSM9322957_TR11_206	M5_stagate	K	4	4	none	spatial_coherence_median	0.847697			stage3a-full-replication-m5
Fig3A	GSE311294	GSM9322957_TR11_206	M5_stagate	K	6	6	none	spatial_coherence_median	0.805029			stage3a-full-replication-m5
Fig3A	GSE311294	GSM9322958_TR11_16184	M5_stagate	K	4	4	none	spatial_coherence_median	0.834126			stage3a-full-replication-m5
Fig3A	GSE311294	GSM9322958_TR11_16184	M5_stagate	K	6	6	none	spatial_coherence_median	0.818699			stage3a-full-replication-m5
Fig3A	GSE311294	GSM9322959_TR11_18105	M5_stagate	K	4	4	none	spatial_coherence_median	0.874739			stage3a-full-replication-m5
Fig3A	GSE311294	GSM9322959_TR11_18105	M5_stagate	K	6	6	none	spatial_coherence_median	0.833628			stage3a-full-replication-m5
Fig3A	GSE267401	GSM8265211_CTC21P	M5_stagate	K	4	4	none	spatial_coherence_median	0.900711			stage3b-full-replication-m5
Fig3A	GSE267401	GSM8265211_CTC21P	M5_stagate	K	6	6	none	spatial_coherence_median	0.85963			stage3b-full-replication-m5
Fig3A	GSE267401	GSM8265212_CTC21M	M5_stagate	K	4	4	none	spatial_coherence_median	0.838182			stage3b-full-replication-m5
Fig3A	GSE267401	GSM8265212_CTC21M	M5_stagate	K	6	6	none	spatial_coherence_median	0.81147			stage3b-full-replication-m5
Fig3A	GSE267401	GSM8265213_CTC17P	M5_stagate	K	4	4	none	spatial_coherence_median	0.873533			stage3b-full-replication-m5
Fig3A	GSE267401	GSM8265213_CTC17P	M5_stagate	K	6	6	none	spatial_coherence_median	0.860141			stage3b-full-replication-m5
