citekey	doi	doi_url	doi_resolved_url	bibtex_ok	bibtex_status	crossref_ok	crossref_status	openalex_ok	openalex_status	two_source_verified	title	year	venue	oa_url	fulltext_url_checked	fulltext_accessible	full_text_read	full_text_read_notes	verified_at_utc	notes	errors
amezquita2020_bioc_sc	10.1038/s41592-019-0654-x	https://doi.org/10.1038/s41592-019-0654-x	https://doi.org/10.1038/s41592-019-0654-x	true	200	true	200	true	200	true	Orchestrating single-cell analysis with Bioconductor	2019	Nature Methods	https://www.ncbi.nlm.nih.gov/pmc/articles/7358058	https://www.ncbi.nlm.nih.gov/pmc/articles/7358058	skipped	pending		2026-04-21T14:46:13+00:00	Bioconductor single-cell analysis (Nat Methods)	
benjamini1995_fdr	10.1111/j.2517-6161.1995.tb02031.x	https://doi.org/10.1111/j.2517-6161.1995.tb02031.x	https://doi.org/10.1111/j.2517-6161.1995.tb02031.x	true	200	true	200	true	200	true	Controlling the False Discovery Rate: A Practical and Powerful Approach to Multiple Testing	1995	Journal of the Royal Statistical Society Series B: Statistical Methodology		https://doi.org/10.1111/j.2517-6161.1995.tb02031.x	skipped	pending		2026-04-21T14:46:13+00:00	Benjamini-Hochberg FDR	
berglund2018_prostate_st	10.1038/s41467-018-04724-5	https://doi.org/10.1038/s41467-018-04724-5	https://doi.org/10.1038/s41467-018-04724-5	true	200	true	200	true	200	true	Spatial maps of prostate cancer transcriptomes reveal an unexplored landscape of heterogeneity	2018	Nature Communications	https://www.nature.com/articles/s41467-018-04724-5.pdf	https://www.nature.com/articles/s41467-018-04724-5.pdf	skipped	pending		2026-04-21T14:46:13+00:00	Cancer ST example (Nat Commun)	
blondel2008_louvain	10.1088/1742-5468/2008/10/P10008	https://doi.org/10.1088/1742-5468/2008/10/P10008	https://api.crossref.org/v1/works/10.1088%2F1742-5468%2F2008%2F10%2FP10008/transform	true	200	true	200	true	200	true	Fast unfolding of communities in large networks	2008	Journal of Statistical Mechanics: Theory and Experiment	https://arxiv.org/pdf/0803.0476	https://arxiv.org/pdf/0803.0476	skipped	pending		2026-04-21T14:46:13+00:00	Louvain community detection	
cable2022_ctde	10.1038/s41592-022-01575-3	https://doi.org/10.1038/s41592-022-01575-3	https://doi.org/10.1038/s41592-022-01575-3	true	200	true	200	true	200	true	Cell type-specific inference of differential expression in spatial transcriptomics	2022	Nature Methods	https://pmc.ncbi.nlm.nih.gov/articles/PMC10463137/pdf/nihms-1912733.pdf	https://pmc.ncbi.nlm.nih.gov/articles/PMC10463137/pdf/nihms-1912733.pdf	skipped	pending		2026-04-21T14:46:13+00:00	CTDE in spatial transcriptomics (Nat Methods)	
dong2022_stagate	10.1038/s41467-022-29439-6	https://doi.org/10.1038/s41467-022-29439-6	https://doi.org/10.1038/s41467-022-29439-6	true	200	true	200	true	200	true	Deciphering spatial domains from spatially resolved transcriptomics with an adaptive graph attention auto-encoder	2022	Nature Communications	https://www.nature.com/articles/s41467-022-29439-6.pdf	https://www.nature.com/articles/s41467-022-29439-6.pdf	skipped	pending		2026-04-21T14:46:13+00:00	STAGATE (Nat Commun)	
dries2021_giotto	10.1186/s13059-021-02286-2	https://doi.org/10.1186/s13059-021-02286-2	https://doi.org/10.1186/s13059-021-02286-2	true	200	true	200	true	200	true	Giotto: a toolbox for integrative analysis and visualization of spatial expression data	2021	Genome Biology	https://genomebiology.biomedcentral.com/counter/pdf/10.1186/s13059-021-02286-2	https://genomebiology.biomedcentral.com/counter/pdf/10.1186/s13059-021-02286-2	skipped	pending		2026-04-21T14:46:13+00:00	Giotto: toolbox for integrative analysis and visualization of spatial expression data (Genome Biology)	
efron1979_bootstrap	10.1214/aos/1176344552	https://doi.org/10.1214/aos/1176344552	https://doi.org/10.1214/aos/1176344552	true	200	true	200	true	200	true	Bootstrap Methods: Another Look at the Jackknife	1979	The Annals of Statistics	https://projecteuclid.org/journals/annals-of-statistics/volume-7/issue-1/Bootstrap-Methods-Another-Look-at-the-Jackknife/10.1214/aos/1176344552.pdf	https://projecteuclid.org/journals/annals-of-statistics/volume-7/issue-1/Bootstrap-Methods-Another-Look-at-the-Jackknife/10.1214/aos/1176344552.pdf	skipped	pending		2026-04-21T14:46:13+00:00	Bootstrap methods	
feng2024_tumor_stroma_boundary_crc	10.1038/s41467-024-54710-3	https://doi.org/10.1038/s41467-024-54710-3	https://doi.org/10.1038/s41467-024-54710-3	true	200	true	200	true	200	true	Spatially organized tumor-stroma boundary determines the efficacy of immunotherapy in colorectal cancer patients	2024	Nature Communications	https://www.nature.com/articles/s41467-024-54710-3.pdf	https://www.nature.com/articles/s41467-024-54710-3.pdf	skipped	pending		2026-04-21T14:46:13+00:00	Tumor-stroma boundary organization and immune response in CRC (Nat Commun)	
gill2024_crc_cms_st	10.1038/s41698-023-00488-4	https://doi.org/10.1038/s41698-023-00488-4	https://doi.org/10.1038/s41698-023-00488-4	true	200	true	200	true	200	true	Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics	2024	npj Precision Oncology	https://www.nature.com/articles/s41698-023-00488-4.pdf	https://www.nature.com/articles/s41698-023-00488-4.pdf	skipped	pending		2026-04-21T14:46:13+00:00	CRC spatial transcriptomics study (npj Precision Oncology)	
hao2021_seurat_wnn	10.1016/j.cell.2021.04.048	https://doi.org/10.1016/j.cell.2021.04.048	https://doi.org/10.1016/j.cell.2021.04.048	true	200	false	429	true	200	true	Integrated analysis of multimodal single-cell data	2021		http://www.cell.com/article/S0092867421005833/pdf	http://www.cell.com/article/S0092867421005833/pdf	skipped	pending		2026-04-21T14:46:13+00:00	Seurat v4 weighted nearest neighbor (Cell; WNN multimodal integration)	HTTPError 429
harris2020_numpy	10.1038/s41586-020-2649-2	https://doi.org/10.1038/s41586-020-2649-2	https://doi.org/10.1038/s41586-020-2649-2	true	200	true	200	true	200	true	Array programming with NumPy	2020	Nature	https://www.nature.com/articles/s41586-020-2649-2.pdf	https://www.nature.com/articles/s41586-020-2649-2.pdf	skipped	pending		2026-04-21T14:46:13+00:00	NumPy (Nature)	
hu2021_spagcn	10.1038/s41592-021-01255-8	https://doi.org/10.1038/s41592-021-01255-8	https://doi.org/10.1038/s41592-021-01255-8	true	200	true	200	true	200	true	SpaGCN: Integrating gene expression, spatial location and histology to identify spatial domains and spatially variable genes by graph convolutional network	2021	Nature Methods		https://doi.org/10.1038/s41592-021-01255-8	skipped	pending		2026-04-21T14:46:13+00:00	SpaGCN (Nat Methods)	
hu2021_sparkx	10.1186/s13059-021-02404-0	https://doi.org/10.1186/s13059-021-02404-0	https://doi.org/10.1186/s13059-021-02404-0	true	200	true	200	true	200	true	SPARK-X: non-parametric modeling enables scalable and robust detection of spatial expression patterns for large spatial transcriptomic studies	2021	Genome Biology	https://genomebiology.biomedcentral.com/counter/pdf/10.1186/s13059-021-02404-0	https://genomebiology.biomedcentral.com/counter/pdf/10.1186/s13059-021-02404-0	skipped	pending		2026-04-21T14:46:13+00:00	SPARK-X (Genome Biology)	
huang2022_bass	10.1186/s13059-022-02734-7	https://doi.org/10.1186/s13059-022-02734-7	https://doi.org/10.1186/s13059-022-02734-7	true	200	true	200	true	200	true	BASS: multi-scale and multi-sample analysis enables accurate cell type clustering and spatial domain detection in spatial transcriptomic studies	2022	Genome Biology	https://genomebiology.biomedcentral.com/counter/pdf/10.1186/s13059-022-02734-7	https://genomebiology.biomedcentral.com/counter/pdf/10.1186/s13059-022-02734-7	skipped	pending		2026-04-21T14:46:13+00:00	BASS (Genome Biology)	
hubert1985_ari	10.1007/BF01908075	https://doi.org/10.1007/BF01908075	https://api.crossref.org/v1/works/10.1007%2FBF01908075/transform	true	200	true	200	true	200	true	Comparing partitions	1985	Journal of Classification		https://doi.org/10.1007/bf01908075	skipped	pending		2026-04-21T14:46:13+00:00	Adjusted Rand index (cluster agreement)	
jin2021_cellchat	10.1038/s41467-021-21246-9	https://doi.org/10.1038/s41467-021-21246-9	https://doi.org/10.1038/s41467-021-21246-9	true	200	true	200	true	200	true	Inference and analysis of cell-cell communication using CellChat	2021	Nature Communications	https://www.nature.com/articles/s41467-021-21246-9.pdf	https://www.nature.com/articles/s41467-021-21246-9.pdf	skipped	pending		2026-04-21T14:46:13+00:00	CellChat (Nat Commun; Jin et al.)	
kleshchevnikov2022_cell2location	10.1038/s41587-021-01139-4	https://doi.org/10.1038/s41587-021-01139-4	https://doi.org/10.1038/s41587-021-01139-4	true	200	true	200	true	200	true	Cell2location maps fine-grained cell types in spatial transcriptomics	2022	Nature Biotechnology		https://doi.org/10.1038/s41587-021-01139-4	skipped	pending		2026-04-21T14:46:13+00:00	Cell2location maps fine-grained cell types in spatial transcriptomics (Nat Biotechnol)	
korsunsky2019_harmony	10.1038/s41592-019-0619-0	https://doi.org/10.1038/s41592-019-0619-0	https://doi.org/10.1038/s41592-019-0619-0	true	200	true	200	true	200	true	Fast, sensitive and accurate integration of single-cell data with Harmony	2019	Nature Methods	https://www.ncbi.nlm.nih.gov/pmc/articles/6884693	https://www.ncbi.nlm.nih.gov/pmc/articles/6884693	skipped	pending		2026-04-21T14:46:13+00:00	Harmony integration (Nat Methods)	
liu2022_drsc	10.1093/nar/gkac219	https://doi.org/10.1093/nar/gkac219	https://doi.org/10.1093/nar/gkac219	true	200	true	200	true	200	true	Joint dimension reduction and clustering analysis of single-cell RNA-seq and spatial transcriptomics data	2022	Nucleic Acids Research	https://academic.oup.com/nar/article-pdf/50/12/e72/44450490/gkac219.pdf	https://academic.oup.com/nar/article-pdf/50/12/e72/44450490/gkac219.pdf	skipped	pending		2026-04-21T14:46:13+00:00	DR-SC (Nucleic Acids Research; journal version)	
