dataset_id	sample_id	method_id	method_label	K	seed_count	spatial_coherence_median	spatial_coherence_iqr	marker_coherence_median	marker_coherence_iqr	stability_ari_median	stability_ari_iqr	failure_rate	status	failure_reason	source_origin
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	5.0	0.910793673930472	0.0020406675898258	1.96170445342735	0.0112471453166294	0.929537287384769	0.0062169205073558	0.0	success		results/benchmarks/method_benchmark_locked.tsv
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	5.0	0.83317542453174	0.0010203337949128	1.85302954024881	0.0103267936523506	0.930374611651557	0.192473370789889	0.0	success		results/benchmarks/method_benchmark_locked.tsv
GSE267401	GSM8265212_CTC21M	BayesSpace	BayesSpace	4	5.0	0.936116835409014	0.006361437147209	1.52166637132468	0.13028757170052	0.645984797347727	0.382179479794801	0.0	success		results/benchmarks/method_benchmark_locked.tsv
GSE267401	GSM8265212_CTC21M	BayesSpace	BayesSpace	6	5.0	0.906907983155631	0.0335095421557208	1.63548745979101	0.032709477617169	0.555354500114715	0.240241621772753	0.0	success		results/benchmarks/method_benchmark_locked.tsv
GSE267401	GSM8265213_CTC17P	BayesSpace	BayesSpace	4	5.0	0.966227519866165	0.0009410288582183	1.07353845050535	0.0082901269656023	0.937546720251044	0.0113782518613799	0.0	success		results/benchmarks/method_benchmark_locked.tsv
GSE267401	GSM8265213_CTC17P	BayesSpace	BayesSpace	6	5.0	0.918653283145128	0.0290673358427436	1.10054830778161	0.0199123394122018	0.715377181975238	0.194698792299871	0.0	success		results/benchmarks/method_benchmark_locked.tsv
GSE267401	GSM8265214_CTC17M	BayesSpace	BayesSpace	4	5.0	0.894389438943894	0.0084341767510084	0.552227384588828	0.0084594696216131	0.596478551876256	0.407181028913329	0.0	success		results/benchmarks/method_benchmark_locked.tsv
GSE267401	GSM8265214_CTC17M	BayesSpace	BayesSpace	6	5.0	0.834250091675834	0.0031536486982031	0.62518861709786	0.0438159067340652	0.569567792151426	0.14268467293966	0.0	success		results/benchmarks/method_benchmark_locked.tsv
GSE285505	GSM8703563_Tumor19	BayesSpace	BayesSpace	4	5.0	0.957257433489828	0.0026408450704225	0.484609982784548	0.0041551445974789	0.838975585991731	0.260581218057201	0.0	success		results/benchmarks/method_benchmark_locked.tsv
GSE285505	GSM8703563_Tumor19	BayesSpace	BayesSpace	6	5.0	0.921557120500782	0.0025430359937402	0.41975221836053	0.0250397730617176	0.705875436311341	0.329710402709616	0.0	success		results/benchmarks/method_benchmark_locked.tsv
GSE285505	GSM8703564_Tumor20	BayesSpace	BayesSpace	4	5.0	0.928109172763084	0.0175858187957231	0.647036907869735	0.409130271344022	0.421151992045554	0.259674982802075	0.0	success		results/benchmarks/method_benchmark_locked.tsv
GSE285505	GSM8703564_Tumor20	BayesSpace	BayesSpace	6	5.0	0.885340461451885	0.0045019696117051	0.824814772604921	0.0246424614443712	0.539692539017293	0.310821995470669	0.0	success		results/benchmarks/method_benchmark_locked.tsv
GSE285505	GSM8703565_Tumor24	BayesSpace	BayesSpace	4	5.0	0.925947297557222	0.002115791498365	0.798811140675166	0.0204108938564426	0.774598686392599	0.221081404587409	0.0	success		results/benchmarks/method_benchmark_locked.tsv
