dataset_id	sample_id	method_id	method_label	K	expected_replicates	successful_replicates	replicate_ids	invalid_replicates	observed_domain_counts	n_spots	reference_id	status	source_file	failure_reason	failed_replicates
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	3	0					seed_11	missing			
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	3	0					seed_11	missing			
GSE267401	GSM8265212_CTC21M	BayesSpace	BayesSpace	4	3	0					seed_11	missing			
GSE267401	GSM8265212_CTC21M	BayesSpace	BayesSpace	6	3	0					seed_11	missing			
GSE267401	GSM8265213_CTC17P	BayesSpace	BayesSpace	4	3	0					seed_11	missing			
GSE267401	GSM8265213_CTC17P	BayesSpace	BayesSpace	6	3	0					seed_11	missing			
GSE267401	GSM8265214_CTC17M	BayesSpace	BayesSpace	4	3	0					seed_11	missing			
GSE267401	GSM8265214_CTC17M	BayesSpace	BayesSpace	6	3	0					seed_11	missing			
GSE285505	GSM8703563_Tumor19	BayesSpace	BayesSpace	4	3	0					seed_11	missing			
GSE285505	GSM8703563_Tumor19	BayesSpace	BayesSpace	6	3	0					seed_11	missing			
GSE285505	GSM8703564_Tumor20	BayesSpace	BayesSpace	4	3	0					seed_11	missing			
GSE285505	GSM8703564_Tumor20	BayesSpace	BayesSpace	6	3	0					seed_11	missing			
GSE285505	GSM8703565_Tumor24	BayesSpace	BayesSpace	4	3	0					seed_11	missing			
GSE285505	GSM8703565_Tumor24	BayesSpace	BayesSpace	6	3	0					seed_11	missing			
GSE285505	GSM8703566_Tumor26	BayesSpace	BayesSpace	4	3	0					seed_11	missing			
GSE285505	GSM8703566_Tumor26	BayesSpace	BayesSpace	6	3	0					seed_11	missing			
GSE311294	GSM9322957_TR11_206	BayesSpace	BayesSpace	4	3	0					seed_11	missing			
GSE311294	GSM9322957_TR11_206	BayesSpace	BayesSpace	6	3	0					seed_11	missing			
GSE311294	GSM9322958_TR11_16184	BayesSpace	BayesSpace	4	3	0					seed_11	missing			
GSE311294	GSM9322958_TR11_16184	BayesSpace	BayesSpace	6	3	0					seed_11	missing			
GSE311294	GSM9322959_TR11_18105	BayesSpace	BayesSpace	4	3	0					seed_11	missing			
GSE311294	GSM9322959_TR11_18105	BayesSpace	BayesSpace	6	3	0					seed_11	missing			
GSE311294	GSM9322960_TR11_21723	BayesSpace	BayesSpace	4	3	0					seed_11	missing			
GSE311294	GSM9322960_TR11_21723	BayesSpace	BayesSpace	6	3	0					seed_11	missing			
GSE311294	GSM9322961_TR16_23542	BayesSpace	BayesSpace	4	3	0					seed_11	missing			
GSE311294	GSM9322961_TR16_23542	BayesSpace	BayesSpace	6	3	0					seed_11	missing			
GSE267401	GSM8265211_CTC21P	M0_expr_kmeans	expression-only k-means	4	3	0					seed_11	missing			
GSE267401	GSM8265211_CTC21P	M0_expr_kmeans	expression-only k-means	6	3	0					seed_11	missing			
GSE267401	GSM8265212_CTC21M	M0_expr_kmeans	expression-only k-means	4	3	0					seed_11	missing			
GSE267401	GSM8265212_CTC21M	M0_expr_kmeans	expression-only k-means	6	3	0					seed_11	missing			
GSE267401	GSM8265213_CTC17P	M0_expr_kmeans	expression-only k-means	4	3	0					seed_11	missing			
