dataset_id	sample_id	method_id	method_label	K	partition_id	is_reference	feature_type	feature_id	genes_used	n_boundary	n_interior	median_boundary	median_interior	median_delta_boundary_minus_interior	bootstrap_ci_lower	bootstrap_ci_upper	bootstrap_replicates	pvalue_mannwhitney_spot_level	n_mixed_blocks	block_median_delta	block_interval_lower	block_interval_upper	fdr_bh_within_partition
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	seed_11	True	gene	COL1A1	COL1A1	1291	3399	2.3693014734316296	3.2711691259247426	-0.9018676524931131	-1.0916529205542214	-0.7189746764276306	1000	4.375701822248857e-22	32	-0.22489769652017544	-2.318774234125458	2.4025142867079294	2.4066360022368715e-21
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	seed_23	False	gene	COL1A1	COL1A1	1270	3420	2.3709988985389963	3.2599885900848173	-0.8889896915458211	-1.0901625960759953	-0.7147162980516344	1000	1.5760984813034144e-21	32	-0.283147278591276	-1.8732886238414987	2.4182343387934235	8.66854164716878e-21
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	seed_37	False	gene	COL1A1	COL1A1	1283	3407	2.3583942644802605	3.2685722256915635	-0.910177961211303	-1.1139153691464043	-0.7411113677302155	1000	6.338110628772013e-23	32	-0.2507474545454299	-2.318774234125458	2.4465818392526075	3.485960845824607e-22
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	seed_11	True	gene	EPCAM	EPCAM	1291	3399	2.7858555211895384	2.6716059856365244	0.11424953555301398	0.05811810530032798	0.16701257159563138	1000	1.585890572319539e-14	32	0.07753182200826436	-0.566087138764151	2.278442941199218	4.189955505438879e-14
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	seed_23	False	gene	EPCAM	EPCAM	1270	3420	2.7864215604002176	2.6740743311860715	0.11234722921414608	0.05787325694227111	0.16388046233540868	1000	2.445609851331422e-13	32	0.08862601946168103	-0.6264101634700756	2.3017265446828334	5.380341672929128e-13
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	seed_37	False	gene	EPCAM	EPCAM	1283	3407	2.7809343020506585	2.674436668173559	0.10649763387709932	0.05450003270914388	0.15725449412495038	1000	6.684843053442752e-14	32	0.10333107300703315	-0.5631878682801861	2.3017265446828334	1.4706654717574053e-13
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	seed_11	True	gene	FAP	FAP	1291	3399	0.0	0.0	0.0	0.0	0.0	1000	0.04485588311949852	32	0.0	0.0	0.5187689783309186	0.06167683928931047
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	seed_23	False	gene	FAP	FAP	1270	3420	0.0	0.0	0.0	0.0	0.0	1000	0.04467274405624093	32	0.0	0.0	0.5188890366049642	0.061425023077331276
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	seed_37	False	gene	FAP	FAP	1283	3407	0.0	0.0	0.0	0.0	0.0	1000	0.04572217428658529	32	0.0	0.0	0.3194292914861149	0.06286798964405477
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	seed_11	True	gene	PTPRC	PTPRC	1291	3399	0.0	0.0	0.0	0.0	0.0	1000	0.5206717349372552	32	0.0	0.0	0.0	0.5727389084309806
