dataset_id	sample_id	method_id	method_label	K	reference_id	alternative_id	stability_type	ari	below_0_60	n_spots	n_switching	switching_fraction
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	seed_11	seed_23	seed_pair_ari	0.9748206294386089	False	4690	44	0.009381663113006396
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	seed_11	seed_37	seed_pair_ari	0.9763530983909341	False	4690	41	0.008742004264392323
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	seed_11	seed_23	seed_pair_ari	0.7887919151134066	False	4690	849	0.1810234541577825
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	seed_11	seed_37	seed_pair_ari	0.7852420245283863	False	4690	850	0.1812366737739872
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	seed_11	seed_23	seed_pair_ari	0.9730854203071151	False	3742	34	0.009086050240513094
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	seed_11	seed_37	seed_pair_ari	0.45026867094384854	True	3742	1292	0.3452699091394976
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	seed_11	seed_23	seed_pair_ari	0.6107898814193059	False	3742	1069	0.2856761090326029
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	seed_11	seed_37	seed_pair_ari	0.5446228416598097	True	3742	1158	0.3094601817210048
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	seed_11	seed_23	seed_pair_ari	0.6556310584478146	False	3673	700	0.19057990743261638
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	seed_11	seed_37	seed_pair_ari	0.9664206789036763	False	3673	47	0.0127960794990471
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	seed_11	seed_23	seed_pair_ari	0.5839067812854856	True	3673	958	0.2608222161720664
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	seed_11	seed_37	seed_pair_ari	0.5236968433208414	True	3673	1018	0.27715763680914784
GSE267401	GSM8265211_CTC21P	Official_STAGATE_pyG	Official_STAGATE_pyG	4	seed_11	seed_23	seed_pair_ari	0.9454619202925525	False	4690	92	0.019616204690831557
GSE267401	GSM8265211_CTC21P	Official_STAGATE_pyG	Official_STAGATE_pyG	4	seed_11	seed_37	seed_pair_ari	0.9464262073237084	False	4690	88	0.018763326226012792
GSE267401	GSM8265211_CTC21P	Official_STAGATE_pyG	Official_STAGATE_pyG	6	seed_11	seed_23	seed_pair_ari	0.901568508441724	False	4690	209	0.04456289978678039
GSE267401	GSM8265211_CTC21P	Official_STAGATE_pyG	Official_STAGATE_pyG	6	seed_11	seed_37	seed_pair_ari	0.9106432873876587	False	4690	195	0.04157782515991471
GSE311294	GSM9322957_TR11_206	Official_STAGATE_pyG	Official_STAGATE_pyG	4	seed_11	seed_23	seed_pair_ari	0.9818274295064797	False	3742	22	0.005879208979155532
GSE311294	GSM9322957_TR11_206	Official_STAGATE_pyG	Official_STAGATE_pyG	4	seed_11	seed_37	seed_pair_ari	0.9835769634211642	False	3742	20	0.005344735435595938
GSE311294	GSM9322957_TR11_206	Official_STAGATE_pyG	Official_STAGATE_pyG	6	seed_11	seed_23	seed_pair_ari	0.9776056912466866	False	3742	32	0.0085515766969535
GSE311294	GSM9322957_TR11_206	Official_STAGATE_pyG	Official_STAGATE_pyG	6	seed_11	seed_37	seed_pair_ari	0.9739701551274252	False	3742	36	0.009620523784072688
GSE311294	GSM9322959_TR11_18105	Official_STAGATE_pyG	Official_STAGATE_pyG	4	seed_11	seed_23	seed_pair_ari	0.9929039619407942	False	3673	9	0.002450313095562211
GSE311294	GSM9322959_TR11_18105	Official_STAGATE_pyG	Official_STAGATE_pyG	4	seed_11	seed_37	seed_pair_ari	0.9973720294376696	False	3673	3	0.0008167710318540703
GSE311294	GSM9322959_TR11_18105	Official_STAGATE_pyG	Official_STAGATE_pyG	6	seed_11	seed_23	seed_pair_ari	0.9960343815844099	False	3673	6	0.0016335420637081405
GSE311294	GSM9322959_TR11_18105	Official_STAGATE_pyG	Official_STAGATE_pyG	6	seed_11	seed_37	seed_pair_ari	0.997097662559334	False	3673	4	0.0010890280424720937
GSE267401	GSM8265211_CTC21P	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	4	seed_11	seed_23	seed_pair_ari	0.4538735955979723	True	4690	1216	0.259275053304904
GSE267401	GSM8265211_CTC21P	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	4	seed_11	seed_37	seed_pair_ari	0.47796022788264464	True	4690	1128	0.24051172707889126
GSE267401	GSM8265211_CTC21P	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	6	seed_11	seed_23	seed_pair_ari	0.4095206064724822	True	4690	2011	0.4287846481876333
GSE267401	GSM8265211_CTC21P	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	6	seed_11	seed_37	seed_pair_ari	0.5090777898581176	True	4690	1181	0.2518123667377399
GSE311294	GSM9322957_TR11_206	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	4	seed_11	seed_23	seed_pair_ari	0.7548074389488058	False	3742	325	0.086851950828434
GSE311294	GSM9322957_TR11_206	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	4	seed_11	seed_37	seed_pair_ari	0.8046024024817554	False	3742	270	0.07215392838054516
GSE311294	GSM9322957_TR11_206	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	6	seed_11	seed_23	seed_pair_ari	0.4827846823423517	True	3742	1044	0.27899518973810794
GSE311294	GSM9322957_TR11_206	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	6	seed_11	seed_37	seed_pair_ari	0.47349555359389806	True	3742	1074	0.2870122928915019
GSE311294	GSM9322959_TR11_18105	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	4	seed_11	seed_23	seed_pair_ari	0.528441539966942	True	3673	826	0.22488429077048733
GSE311294	GSM9322959_TR11_18105	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	4	seed_11	seed_37	seed_pair_ari	0.6566104587492837	False	3673	550	0.14974135583991288
GSE311294	GSM9322959_TR11_18105	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	6	seed_11	seed_23	seed_pair_ari	0.4380988400100644	True	3673	1419	0.38633269806697523
GSE311294	GSM9322959_TR11_18105	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	6	seed_11	seed_37	seed_pair_ari	0.6387033370486037	False	3673	606	0.16498774843452219
