dataset_id	sample_id	method_id	method_label	K	feature_type	feature_id	genes_used	reference_id	reference_delta	n_alternatives	minimum_delta	maximum_delta	delta_range	n_sign_state_changes_vs_reference	any_sign_state_change_vs_reference	n_direction_reversals_vs_reference	any_direction_reversal_vs_reference	n_zero_involved_changes_vs_reference	all_partitions_same_direction	reference_block_delta	median_block_delta	n_partitions_with_evaluable_blocks	n_block_direction_reversals_vs_reference	any_block_direction_reversal_vs_reference
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	gene	COL1A1	COL1A1	seed_11	-0.9018676524931131	2	-0.910177961211303	-0.8889896915458211	0.02118826966548193	0	False	0	False	0	1	-0.22489769652017544	-0.2507474545454299	3	0	False
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	gene	EPCAM	EPCAM	seed_11	0.11424953555301398	2	0.10649763387709932	0.11424953555301398	0.007751901675914663	0	False	0	False	0	1	0.07753182200826436	0.08862601946168103	3	0	False
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	gene	FAP	FAP	seed_11	0.0	2	0.0	0.0	0.0	0	False	0	False	0	1	0.0	0.0	3	0	False
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	gene	PTPRC	PTPRC	seed_11	0.0	2	0.0	0.0	0.0	0	False	0	False	0	1	0.0	0.0	3	0	False
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	gene	SPP1	SPP1	seed_11	0.0	2	0.0	0.0	0.0	0	False	0	False	0	1	0.0	0.0	3	0	False
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	signature	SIG_CAF_FAP	FAP,COL1A1,DCN,COL3A1,LUM	seed_11	-0.5168751569943068	2	-0.5179962751838568	-0.4974182512134293	0.020578023970427517	0	False	0	False	0	1	-0.06094008096391673	-0.06533531607750082	3	0	False
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	signature	SIG_CYTOTOX	NKG7,GNLY,GZMB,PRF1,IFNG	seed_11	0.0	2	0.0	0.0	0.0	0	False	0	False	0	1	0.0	0.0	3	0	False
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	signature	SIG_EXCLUSION_CONTRAST	CAF:FAP,COL1A1,DCN,COL3A1,LUM;MY:SPP1,LST1,TYROBP,C1QA,C1QB,C1QC;TCELL:TRAC,CD3D,CD3E,CD247	seed_11	-0.528363063890918	2	-0.5376838020838983	-0.5169541832097355	0.020729618874162803	0	False	0	False	0	1	-0.0533863786103384	-0.0533863786103384	3	0	False
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	signature	SIG_EXCLUSION_TGFB_CXCL12	TGFB1,CXCL12,ACTA2,TAGLN,FAP,COL1A1	seed_11	-0.3010033905998115	2	-0.3078646724824379	-0.3010033905998115	0.006861281882626358	0	False	0	False	0	1	-0.0381843159815157	-0.03831399734821303	3	0	False
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	signature	SIG_MY_SPP1	SPP1,LST1,TYROBP,C1QA,C1QB,C1QC	seed_11	0.0517788560015795	2	0.0517788560015795	0.05383334446026136	0.0020544884586818635	0	False	0	False	0	1	0.0	0.0	3	0	False
