dataset_id	sample_id	method_id	method_label	K	reference_id	alternative_id	n_switching	n_stable	median_gradient_switching	median_gradient_stable	median_delta_switching_minus_stable	pvalue_mannwhitney_spot_level	status	fdr_bh
GSE267401	GSM8265211_CTC21P	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	6	seed_11	seed_23	2011	2679	6.4993438720703125	3.1118886470794678	3.3874552249908447	3.349982283789741e-20	success	4.0199787405476893e-19
GSE267401	GSM8265211_CTC21P	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	6	seed_11	seed_37	1181	3509	4.146152496337891	4.527240753173828	-0.3810882568359375	0.3021824061870575	success	0.725237774848938
GSE311294	GSM9322957_TR11_206	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	4	seed_11	seed_23	325	3417	4.313657283782959	4.276621341705322	0.03703594207763672	0.6538233160972595	success	1.0
GSE311294	GSM9322957_TR11_206	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	4	seed_11	seed_37	270	3472	4.619856834411621	4.257203578948975	0.3626532554626465	0.32959815859794617	success	0.7415958568453789
GSE311294	GSM9322957_TR11_206	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	6	seed_11	seed_23	1044	2698	4.567540168762207	4.194954872131348	0.3725852966308594	0.012423000298440456	success	0.04065709188580513
GSE311294	GSM9322957_TR11_206	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	6	seed_11	seed_37	1074	2668	4.567816734313965	4.160789489746094	0.4070272445678711	0.0005249105743132532	success	0.0026995400964681593
GSE311294	GSM9322959_TR11_18105	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	4	seed_11	seed_23	826	2847	0.0	0.0	0.0	1.0	success	1.0
GSE311294	GSM9322959_TR11_18105	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	4	seed_11	seed_37	550	3123	0.0	0.0	0.0	1.0	success	1.0
GSE311294	GSM9322959_TR11_18105	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	6	seed_11	seed_23	1419	2254	0.0	0.0	0.0	1.0	success	1.0
GSE311294	GSM9322959_TR11_18105	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	6	seed_11	seed_37	606	3067	0.0	0.0	0.0	1.0	success	1.0
