method_id	method_label	n_section_k_expected	n_section_k_available	spatial_coherence_median	spatial_coherence_q1	spatial_coherence_q3	marker_coherence_median	marker_coherence_q1	marker_coherence_q3
BayesSpace	BayesSpace	26	26	0.910164563126605	0.884018176982203	0.924849753293112	0.9090811388168795	0.5895329911199323	1.489779016058955
M0_expr_kmeans	expression-only k-means	26	26	0.7244815	0.66556025	0.7581215	0.830791	0.5520545	1.076951
M1_spatial_concat_kmeans	coordinate-augmented k-means	26	26	0.7252419999999999	0.66801475	0.757688	0.8311095	0.5552255	1.07683625
M2_spatial_ward	spatial Ward	26	26	0.9337025	0.90855725	0.94437825	0.7278495	0.4206705	0.9718815
M3_spatial_leiden	spatial Leiden	26	25	0.97134	0.967888	0.978265	0.604307	0.39965	0.783497
M4_spagcn	SpaGCN-style	26	26	0.773447	0.73758175	0.8224195000000001	0.7928115	0.5335905000000001	0.99161525
M5_stagate	STAGATE-style	26	26	0.8447785000000001	0.8201824999999999	0.873193	0.7817419999999999	0.5312172500000001	0.9794475
