dataset_id	sample_id	method_id	method_label	K	reference_id	alternative_id	n_switching	n_stable	median_gradient_switching	median_gradient_stable	median_delta_switching_minus_stable	pvalue_mannwhitney_spot_level	status	fdr_bh
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_11	seed_23	109	4581	4.030722141265869	4.464749813079834	-0.43402767181396484	0.8286638259887695	success	0.9613679974104586
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_11	seed_37	125	4565	4.942317962646484	4.464240550994873	0.47807741165161133	0.859612762928009	success	0.9823987471473801
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	seed_11	seed_23	890	3800	8.666311264038086	3.499664783477783	5.166646480560303	6.254988824731782e-36	success	2.241786445920831e-34
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	seed_11	seed_37	887	3803	8.691545486450195	3.503690719604492	5.187854766845703	6.87664553963445e-36	success	2.241786445920831e-34
GSE267401	GSM8265212_CTC21M	BayesSpace	BayesSpace	4	seed_11	seed_23	955	2929	1.499849796295166	1.9997997283935547	-0.49994993209838867	5.053182030678727e-05	success	0.0002890065512282921
GSE267401	GSM8265212_CTC21M	BayesSpace	BayesSpace	4	seed_11	seed_37	134	3750	1.691781997680664	1.9997978210449219	-0.3080158233642578	0.23917560279369354	success	0.4355935559259447
GSE267401	GSM8265212_CTC21M	BayesSpace	BayesSpace	6	seed_11	seed_23	329	3555	1.9997997283935547	1.8026041984558105	0.19719552993774414	0.20572799444198608	success	0.394513683459338
GSE267401	GSM8265212_CTC21M	BayesSpace	BayesSpace	6	seed_11	seed_37	1083	2801	1.9997997283935547	1.8025957345962524	0.19720399379730225	0.21212884783744812	success	0.40205816508725634
GSE267401	GSM8265213_CTC17P	BayesSpace	BayesSpace	4	seed_11	seed_23	116	3605	1.9012010097503662	1.9997997283935547	-0.09859871864318848	0.6912391185760498	success	0.8633867917846446
GSE267401	GSM8265213_CTC17P	BayesSpace	BayesSpace	4	seed_11	seed_37	83	3638	2.0613491535186768	1.9997997283935547	0.06154942512512207	0.4225088953971863	success	0.6622014418244362
GSE267401	GSM8265213_CTC17P	BayesSpace	BayesSpace	6	seed_11	seed_23	749	2972	1.4998502731323242	1.9998000860214233	-0.4999498128890991	1.0861141985785139e-09	success	1.1421717056019211e-08
GSE267401	GSM8265213_CTC17P	BayesSpace	BayesSpace	6	seed_11	seed_37	162	3559	1.058913230895996	1.9997997283935547	-0.9408864974975586	1.574781163071748e-05	success	0.0001010246715119209
GSE267401	GSM8265214_CTC17M	BayesSpace	BayesSpace	4	seed_11	seed_23	1705	3052	8.12698745727539	9.227716445922852	-1.100728988647461	2.8593636670848355e-05	success	0.00017363998570848102
GSE267401	GSM8265214_CTC17M	BayesSpace	BayesSpace	4	seed_11	seed_37	607	4150	7.070366382598877	9.123236656188965	-2.052870273590088	2.480228467049983e-08	success	2.52673275080717e-07
GSE267401	GSM8265214_CTC17M	BayesSpace	BayesSpace	6	seed_11	seed_23	1241	3516	8.60146713256836	9.012980461120605	-0.4115133285522461	0.2273034304380417	success	0.4206565770875202
GSE267401	GSM8265214_CTC17M	BayesSpace	BayesSpace	6	seed_11	seed_37	2043	2714	9.276033401489258	8.630471229553223	0.6455621719360352	0.0882893055677414	success	0.21320232307469403
GSE285505	GSM8703563_Tumor19	BayesSpace	BayesSpace	4	seed_11	seed_23	732	2761	0.0	0.0	0.0	0.14579063653945923	success	0.3086217370900241
GSE285505	GSM8703563_Tumor19	BayesSpace	BayesSpace	4	seed_11	seed_37	509	2984	0.0	0.0	0.0	0.04359656199812889	success	0.11843732676158349
GSE285505	GSM8703563_Tumor19	BayesSpace	BayesSpace	6	seed_11	seed_23	447	3046	0.0	0.0	0.0	0.19095326960086823	success	0.37942176912770126
GSE285505	GSM8703563_Tumor19	BayesSpace	BayesSpace	6	seed_11	seed_37	306	3187	0.0	0.0	0.0	0.49628448486328125	success	0.7287781174118454
GSE285505	GSM8703564_Tumor20	BayesSpace	BayesSpace	4	seed_11	seed_23	396	2077	0.0	0.0	0.0	0.0	success	0.0
GSE285505	GSM8703564_Tumor20	BayesSpace	BayesSpace	4	seed_11	seed_37	969	1504	0.0	0.0	0.0	4.847694564806433e-19	success	7.901742140634486e-18
GSE285505	GSM8703564_Tumor20	BayesSpace	BayesSpace	6	seed_11	seed_23	132	2341	0.0	0.0	0.0	0.8122280836105347	success	0.9613679974104586
GSE285505	GSM8703564_Tumor20	BayesSpace	BayesSpace	6	seed_11	seed_37	143	2330	0.0	0.0	0.0	0.17734283208847046	success	0.3568750818570455
GSE285505	GSM8703565_Tumor24	BayesSpace	BayesSpace	4	seed_11	seed_23	205	3358	0.0	0.0	0.0	0.6828300952911377	success	0.8619444957146278
GSE285505	GSM8703565_Tumor24	BayesSpace	BayesSpace	4	seed_11	seed_37	382	3181	0.0	0.0	0.0	0.47489917278289795	success	0.7134429968996532
GSE285505	GSM8703565_Tumor24	BayesSpace	BayesSpace	6	seed_11	seed_23	327	3236	0.0	0.0	0.0	0.6232972145080566	success	0.832765950531256
GSE285505	GSM8703565_Tumor24	BayesSpace	BayesSpace	6	seed_11	seed_37	1283	2280	0.0	0.0	0.0	0.22968365252017975	success	0.4206565770875202
GSE285505	GSM8703566_Tumor26	BayesSpace	BayesSpace	4	seed_11	seed_23	135	3280	0.0	0.0	0.0	0.899014413356781	success	1.0
GSE285505	GSM8703566_Tumor26	BayesSpace	BayesSpace	4	seed_11	seed_37	149	3266	0.0	0.0	0.0	0.3940367102622986	success	0.6327880174655632
GSE285505	GSM8703566_Tumor26	BayesSpace	BayesSpace	6	seed_11	seed_23	1311	2104	0.0	0.0	0.0	1.058519938368363e-09	success	1.1421717056019211e-08
GSE285505	GSM8703566_Tumor26	BayesSpace	BayesSpace	6	seed_11	seed_37	516	2899	0.0	0.0	0.0	0.01917189359664917	success	0.05896261615573235
GSE311294	GSM9322957_TR11_206	BayesSpace	BayesSpace	4	seed_11	seed_23	701	3041	4.1162519454956055	4.33843994140625	-0.22218799591064453	0.39950448274612427	success	0.6378391670017708
GSE311294	GSM9322957_TR11_206	BayesSpace	BayesSpace	4	seed_11	seed_37	1520	2222	4.560147285461426	4.1600799560546875	0.4000673294067383	0.0014487238368019462	success	0.00597827811135993
GSE311294	GSM9322957_TR11_206	BayesSpace	BayesSpace	6	seed_11	seed_23	885	2857	4.6121110916137695	4.190566062927246	0.42154502868652344	0.006418454460799694	success	0.022993584112315387
