method_id	method_label	n_section_k_features	fraction_with_direction_reversal	fraction_with_sign_state_change	fraction_with_block_direction_reversal	median_effect_range	fraction_all_partitions_same_direction
BayesSpace	BayesSpace	286	0.12237762237762238	0.14335664335664336	0.1258741258741259	0.008751161495669735	0.8566433566433567
M0_expr_kmeans	expression-only k-means	286	0.0	0.0	0.02097902097902098	0.0	1.0
M1_spatial_concat_kmeans	coordinate-augmented k-means	286	0.0034965034965034965	0.0034965034965034965	0.03146853146853147	0.0	0.9965034965034965
M2_spatial_ward	spatial Ward	286	0.1853146853146853	0.1958041958041958	0.13636363636363635	0.021135964535231214	0.8041958041958042
M3_spatial_leiden	spatial Leiden	231	0.1471861471861472	0.17316017316017315	0.20346320346320346	0.007556564643895758	0.8268398268398268
M4_spagcn	SpaGCN-style	286	0.08041958041958042	0.08741258741258741	0.11188811188811189	0.007084404661508115	0.9125874125874126
M5_stagate	STAGATE-style	286	0.1048951048951049	0.13636363636363635	0.1853146853146853	0.009294242022285515	0.8636363636363636
