dataset_id	sample_id	method_id	method_label	K	feature_type	feature_id	reference_id	reference_delta	reference_ci_lower	reference_ci_upper	reference_interval_excludes_zero	n_alternatives	n_opposite_sign_alternatives	opposite_sign_alternative_ids	n_interval_supported_opposite_sign_alternatives	interval_supported_opposite_sign_alternative_ids	any_opposite_sign_point_estimate	any_interval_supported_opposite_sign_estimate	reference_interval_includes_zero_among_point_changes	reference_and_alternative_intervals_include_zero	evidence_class	interpretation_note
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	gene	COL1A1	seed_11	-0.8723537790417422	-1.0505690722242838	-0.6747138274957978	True	2	0		0		False	False	False	False	no opposite-sign point estimate	Post-review descriptive stratification based on spot-bootstrap intervals; it is not an independent-sample or spatial-dependence-resolved test.
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	gene	EPCAM	seed_11	0.0963131591400694	0.0447224334059625	0.1515335119500671	True	2	0		0		False	False	False	False	no opposite-sign point estimate	Post-review descriptive stratification based on spot-bootstrap intervals; it is not an independent-sample or spatial-dependence-resolved test.
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	gene	FAP	seed_11	0.0	0.0	0.0	False	2	0		0		False	False	False	False	no opposite-sign point estimate	Post-review descriptive stratification based on spot-bootstrap intervals; it is not an independent-sample or spatial-dependence-resolved test.
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	gene	PTPRC	seed_11	0.0	0.0	0.0	False	2	0		0		False	False	False	False	no opposite-sign point estimate	Post-review descriptive stratification based on spot-bootstrap intervals; it is not an independent-sample or spatial-dependence-resolved test.
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	gene	SPP1	seed_11	0.0	0.0	0.0	False	2	0		0		False	False	False	False	no opposite-sign point estimate	Post-review descriptive stratification based on spot-bootstrap intervals; it is not an independent-sample or spatial-dependence-resolved test.
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	signature	SIG_CAF_FAP	seed_11	-0.4873973586669682	-0.5832553229028532	-0.3651979822567727	True	2	0		0		False	False	False	False	no opposite-sign point estimate	Post-review descriptive stratification based on spot-bootstrap intervals; it is not an independent-sample or spatial-dependence-resolved test.
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	signature	SIG_CYTOTOX	seed_11	0.0	0.0	0.0	False	2	0		0		False	False	False	False	no opposite-sign point estimate	Post-review descriptive stratification based on spot-bootstrap intervals; it is not an independent-sample or spatial-dependence-resolved test.
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	signature	SIG_EXCLUSION_CONTRAST	seed_11	-0.5164368604824061	-0.6230175218171509	-0.4099278284203463	True	2	0		0		False	False	False	False	no opposite-sign point estimate	Post-review descriptive stratification based on spot-bootstrap intervals; it is not an independent-sample or spatial-dependence-resolved test.
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	signature	SIG_EXCLUSION_TGFB_CXCL12	seed_11	-0.295878158889324	-0.3520734265379433	-0.247064857726216	True	2	0		0		False	False	False	False	no opposite-sign point estimate	Post-review descriptive stratification based on spot-bootstrap intervals; it is not an independent-sample or spatial-dependence-resolved test.
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	signature	SIG_MY_SPP1	seed_11	0.0593627879311303	0.0352547065051318	0.0827743401251546	True	2	0		0		False	False	False	False	no opposite-sign point estimate	Post-review descriptive stratification based on spot-bootstrap intervals; it is not an independent-sample or spatial-dependence-resolved test.
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	signature	SIG_TCELL	seed_11	0.0	0.0	0.0	False	2	0		0		False	False	False	False	no opposite-sign point estimate	Post-review descriptive stratification based on spot-bootstrap intervals; it is not an independent-sample or spatial-dependence-resolved test.
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	gene	COL1A1	seed_11	-1.3685089126578478	-1.5934215544898824	-1.1483491724157326	True	2	0		0		False	False	False	False	no opposite-sign point estimate	Post-review descriptive stratification based on spot-bootstrap intervals; it is not an independent-sample or spatial-dependence-resolved test.
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	gene	EPCAM	seed_11	0.5146641693479248	0.4031793159047352	0.6273410966187419	True	2	0		0		False	False	False	False	no opposite-sign point estimate	Post-review descriptive stratification based on spot-bootstrap intervals; it is not an independent-sample or spatial-dependence-resolved test.
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	gene	FAP	seed_11	0.0	0.0	0.0	False	2	0		0		False	False	False	False	no opposite-sign point estimate	Post-review descriptive stratification based on spot-bootstrap intervals; it is not an independent-sample or spatial-dependence-resolved test.
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	gene	PTPRC	seed_11	0.0	0.0	0.0	False	2	0		0		False	False	False	False	no opposite-sign point estimate	Post-review descriptive stratification based on spot-bootstrap intervals; it is not an independent-sample or spatial-dependence-resolved test.
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	gene	SPP1	seed_11	0.1944615379806401	0.0	0.2176295904203415	False	2	0		0		False	False	False	False	no opposite-sign point estimate	Post-review descriptive stratification based on spot-bootstrap intervals; it is not an independent-sample or spatial-dependence-resolved test.
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	signature	SIG_CAF_FAP	seed_11	-0.7499434370408169	-0.8582813651624301	-0.6270082816337379	True	2	0		0		False	False	False	False	no opposite-sign point estimate	Post-review descriptive stratification based on spot-bootstrap intervals; it is not an independent-sample or spatial-dependence-resolved test.
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	signature	SIG_CYTOTOX	seed_11	0.0	0.0	0.0	False	2	0		0		False	False	False	False	no opposite-sign point estimate	Post-review descriptive stratification based on spot-bootstrap intervals; it is not an independent-sample or spatial-dependence-resolved test.
