dataset_id	sample_id	method_id	method_label	K	n_alternatives	median_ari	min_ari	max_ari	n_below_0_60	n_union_switching	union_switching_fraction
GSE267401	GSM8265213_CTC17P	M4_spagcn	SpaGCN-style	4	2	0.34796572831059913	0.3404947551948931	0.35543670142630523	2	1519.0	0.4082235958075786
GSE267401	GSM8265213_CTC17P	M4_spagcn	SpaGCN-style	6	2	0.8453118752736699	0.8158027946805915	0.8748209558667482	0	460.0	0.1236226820747111
GSE267401	GSM8265213_CTC17P	M5_stagate	STAGATE-style	4	2	0.39896183177293826	0.21074584663594817	0.5871778169099283	2	1967.0	0.528621338349906
GSE267401	GSM8265213_CTC17P	M5_stagate	STAGATE-style	6	2	0.5424671071887333	0.5416860280257496	0.5432481863517169	2	1346.0	0.36173071754904595
GSE267401	GSM8265214_CTC17M	BayesSpace	BayesSpace	4	2	0.4997377987425107	0.3514791606726976	0.6479964368123238	1	1886.0	0.3964683624132857
GSE267401	GSM8265214_CTC17M	BayesSpace	BayesSpace	6	2	0.5018119159622465	0.43176638792635463	0.5718574439981384	2	2553.0	0.5366827832667648
GSE267401	GSM8265214_CTC17M	M0_expr_kmeans	expression-only k-means	4	2	0.9872846054987269	0.9866973982997029	0.9878718126977508	0	25.0	0.0052554130754677315
GSE267401	GSM8265214_CTC17M	M0_expr_kmeans	expression-only k-means	6	2	0.9964302580266946	0.9928605160533893	1.0	0	13.0	0.0027328147992432207
GSE267401	GSM8265214_CTC17M	M1_spatial_concat_kmeans	coordinate-augmented k-means	4	2	0.9882861072398758	0.9767719457269644	0.9998002687527872	0	36.0	0.0075677948286735335
GSE267401	GSM8265214_CTC17M	M1_spatial_concat_kmeans	coordinate-augmented k-means	6	2	0.9898282482763979	0.9865929077251138	0.9930635888276821	0	27.0	0.005675846121505151
GSE267401	GSM8265214_CTC17M	M2_spatial_ward	spatial Ward	4	2	0.5416360851124761	0.21777308360294118	0.865499086622011	1	1692.0	0.3556863569476561
GSE267401	GSM8265214_CTC17M	M2_spatial_ward	spatial Ward	6	2	0.49427761578178375	0.3224327873226747	0.6661224442408927	1	2263.0	0.4757199915913391
GSE267401	GSM8265214_CTC17M	M3_spatial_leiden	spatial Leiden	4	2	0.7727544533159592	0.7704503365505977	0.7750585700813207	0	595.0	0.12507883119613203
GSE267401	GSM8265214_CTC17M	M3_spatial_leiden	spatial Leiden	6	1	0.8999489955234822	0.8999489955234822	0.8999489955234822	0	206.0	0.04330460374185411
GSE267401	GSM8265214_CTC17M	M4_spagcn	SpaGCN-style	4	2	0.3136816414187793	0.2717583225230379	0.35560496031452066	2	2333.0	0.4904351482026487
GSE267401	GSM8265214_CTC17M	M4_spagcn	SpaGCN-style	6	1	0.39201021122732105	0.39201021122732105	0.39201021122732105	1	1687.0	0.35463527433256253
GSE267401	GSM8265214_CTC17M	M5_stagate	STAGATE-style	4	2	0.4615995430800233	0.3651871793322926	0.558011906827754	2	1791.0	0.3764977927265083
GSE267401	GSM8265214_CTC17M	M5_stagate	STAGATE-style	6	2	0.5166953538585405	0.5107323368148059	0.5226583709022751	2	1758.0	0.3695606474668909
GSE285505	GSM8703563_Tumor19	BayesSpace	BayesSpace	4	2	0.61800344795151	0.6057680270481127	0.6302388688549071	0	797.0	0.22817062696822216
GSE285505	GSM8703563_Tumor19	BayesSpace	BayesSpace	6	2	0.7741588564893866	0.7489843505568381	0.7993333624219351	0	548.0	0.1568851989693673
GSE285505	GSM8703563_Tumor19	M0_expr_kmeans	expression-only k-means	4	2	0.989764712304581	0.9849760443965451	0.9945533802126167	0	23.0	0.006584597766962496
GSE285505	GSM8703563_Tumor19	M0_expr_kmeans	expression-only k-means	6	2	0.9904043778963956	0.9886587383265739	0.9921500174662173	0	22.0	0.006298310907529345
GSE285505	GSM8703563_Tumor19	M1_spatial_concat_kmeans	coordinate-augmented k-means	4	2	0.9794520907968538	0.9784568644001919	0.9804473171935157	0	34.0	0.009733753220727169
GSE285505	GSM8703563_Tumor19	M1_spatial_concat_kmeans	coordinate-augmented k-means	6	2	0.8936532986255811	0.8530150183790621	0.9342915788721	0	309.0	0.08846263956484397
GSE285505	GSM8703563_Tumor19	M2_spatial_ward	spatial Ward	4	2	0.65347409335206	0.48815539227949284	0.818792794424627	1	803.0	0.22988834812482106
GSE285505	GSM8703563_Tumor19	M2_spatial_ward	spatial Ward	6	2	0.5339405946405152	0.37989785173642004	0.6879833375446105	1	1713.0	0.4904093902089894
GSE285505	GSM8703563_Tumor19	M3_spatial_leiden	spatial Leiden	4	1	0.5045581599124727	0.5045581599124727	0.5045581599124727	1	855.0	0.24477526481534498
GSE285505	GSM8703563_Tumor19	M3_spatial_leiden	spatial Leiden	6	2	0.5654428570987242	0.5096618094831514	0.621223904714297	1	1384.0	0.3962210134554824
GSE285505	GSM8703563_Tumor19	M4_spagcn	SpaGCN-style	4	2	0.27969162558446814	0.23342141657665555	0.3259618345922808	2	1806.0	0.5170340681362725
GSE285505	GSM8703563_Tumor19	M4_spagcn	SpaGCN-style	6	1	0.20628857692288347	0.20628857692288347	0.20628857692288347	1	1827.0	0.5230460921843687
GSE285505	GSM8703563_Tumor19	M5_stagate	STAGATE-style	4	2	0.42678006752533904	0.30336193382096993	0.5501982012297081	2	1438.0	0.4116805038648726
GSE285505	GSM8703563_Tumor19	M5_stagate	STAGATE-style	6	2	0.49825978018158723	0.4503088965692135	0.5462106637939609	2	1431.0	0.4096764958488405
GSE285505	GSM8703564_Tumor20	BayesSpace	BayesSpace	4	2	0.4785763945915458	0.2927983475772002	0.6643544416058914	1	1093.0	0.4419733117670845
GSE285505	GSM8703564_Tumor20	BayesSpace	BayesSpace	6	2	0.8532273584754735	0.848057928156838	0.8583967887941091	0	210.0	0.08491710473109583
GSE285505	GSM8703564_Tumor20	M0_expr_kmeans	expression-only k-means	4	2	0.9880785472110895	0.9774797220647143	0.9986773723574646	0	26.0	0.010513546300040437
GSE285505	GSM8703564_Tumor20	M0_expr_kmeans	expression-only k-means	6	2	0.9941187575546181	0.9941187575546181	0.9941187575546181	0	6.0	0.002426202992317024
GSE285505	GSM8703564_Tumor20	M1_spatial_concat_kmeans	coordinate-augmented k-means	4	2	0.9887398610323572	0.9774797220647143	1.0	0	25.0	0.010109179134654266
GSE285505	GSM8703564_Tumor20	M1_spatial_concat_kmeans	coordinate-augmented k-means	6	2	0.993794316301307	0.9926796531004063	0.9949089795022076	0	7.0	0.0028305701577031944
GSE285505	GSM8703564_Tumor20	M2_spatial_ward	spatial Ward	4	2	0.6998096480452383	0.6610791553899102	0.7385401407005663	0	353.0	0.14274160938131825
GSE285505	GSM8703564_Tumor20	M2_spatial_ward	spatial Ward	6	2	0.48852007552170074	0.46905871876134764	0.5079814322820538	2	723.0	0.29235746057420137
GSE285505	GSM8703564_Tumor20	M3_spatial_leiden	spatial Leiden	4	2	0.5207552995744245	0.4698089700429169	0.571701629105932	2	1095.0	0.4427820460978569
GSE285505	GSM8703564_Tumor20	M3_spatial_leiden	spatial Leiden	6	2	0.460949216807276	0.3951319002777486	0.5267665333368035	2	1527.0	0.6174686615446826
GSE285505	GSM8703564_Tumor20	M4_spagcn	SpaGCN-style	4	2	0.7632943031055963	0.7599852109145899	0.7666033952966026	0	258.0	0.10432672866963202
GSE285505	GSM8703564_Tumor20	M4_spagcn	SpaGCN-style	6	2	0.5098021380053765	0.46645335618590905	0.5531509198248441	2	1185.0	0.47917509098261224
GSE285505	GSM8703564_Tumor20	M5_stagate	STAGATE-style	4	2	0.7359040667069965	0.6583168019895494	0.8134913314244436	0	359.0	0.14516781237363527
GSE285505	GSM8703564_Tumor20	M5_stagate	STAGATE-style	6	2	0.4858077901728405	0.4786169742697316	0.4929986060759494	2	1342.0	0.542660735948241
GSE285505	GSM8703565_Tumor24	BayesSpace	BayesSpace	4	2	0.8410026778948116	0.8290201969878053	0.8529851588018181	0	506.0	0.14201515576761156
GSE285505	GSM8703565_Tumor24	BayesSpace	BayesSpace	6	2	0.6882905086869223	0.531487051956965	0.8450939654168796	1	1471.0	0.4128543362335111
GSE285505	GSM8703565_Tumor24	M0_expr_kmeans	expression-only k-means	4	2	0.9941159044385064	0.9882318088770128	1.0	0	17.0	0.0047712601740106655
GSE285505	GSM8703565_Tumor24	M0_expr_kmeans	expression-only k-means	6	2	0.998882269332491	0.998882269332491	0.998882269332491	0	2.0	0.000561324726354196
GSE285505	GSM8703565_Tumor24	M1_spatial_concat_kmeans	coordinate-augmented k-means	4	2	0.9768283490719261	0.9549036220646275	0.9987530760792245	0	66.0	0.018523715969688465
GSE285505	GSM8703565_Tumor24	M1_spatial_concat_kmeans	coordinate-augmented k-means	6	2	0.9772920816195094	0.9746916242742204	0.9798925389647986	0	37.0	0.010384507437552624
GSE285505	GSM8703565_Tumor24	M2_spatial_ward	spatial Ward	4	2	0.5908605498229624	0.5651828381030083	0.6165382615429165	1	1136.0	0.31883244456918325
GSE285505	GSM8703565_Tumor24	M2_spatial_ward	spatial Ward	6	2	0.5364225991568848	0.44489231693615844	0.6279528813776113	1	1497.0	0.4201515576761156
GSE285505	GSM8703565_Tumor24	M3_spatial_leiden	spatial Leiden	4	2	0.4389609090729999	0.3521177798046543	0.5258040383413455	2	1938.0	0.5439236598372158
GSE285505	GSM8703565_Tumor24	M4_spagcn	SpaGCN-style	4	2	0.4835875060799473	0.4412925149828666	0.5258824971770281	2	1222.0	0.3429694078024137
GSE285505	GSM8703565_Tumor24	M4_spagcn	SpaGCN-style	6	2	0.5394977063276216	0.5379652608134584	0.5410301518417849	2	1354.0	0.3800168397417906
GSE285505	GSM8703565_Tumor24	M5_stagate	STAGATE-style	4	2	0.60898015506577	0.4622316922103837	0.7557286179211563	1	1358.0	0.381139489194499
GSE285505	GSM8703565_Tumor24	M5_stagate	STAGATE-style	6	2	0.6219657764895756	0.5773904982734605	0.6665410547056908	1	1309.0	0.36738703339882123
GSE285505	GSM8703566_Tumor26	BayesSpace	BayesSpace	4	2	0.8954667294035712	0.8895610137480333	0.9013724450591091	0	203.0	0.05944363103953148
GSE285505	GSM8703566_Tumor26	BayesSpace	BayesSpace	6	2	0.6594823821724264	0.5632932648527977	0.755671499492055	1	1340.0	0.3923865300146413
GSE285505	GSM8703566_Tumor26	M0_expr_kmeans	expression-only k-means	4	2	0.9932268283171874	0.98796840385798	0.998485252776395	0	16.0	0.004685212298682284
GSE285505	GSM8703566_Tumor26	M0_expr_kmeans	expression-only k-means	6	2	0.8957799340133814	0.8941730624224348	0.8973868056043279	0	167.0	0.04890190336749634
GSE285505	GSM8703566_Tumor26	M1_spatial_concat_kmeans	coordinate-augmented k-means	4	2	1.0	1.0	1.0	0		
GSE285505	GSM8703566_Tumor26	M1_spatial_concat_kmeans	coordinate-augmented k-means	6	2	0.9468135467785654	0.9254349030408636	0.9681921905162674	0	164.0	0.04802342606149341
GSE285505	GSM8703566_Tumor26	M2_spatial_ward	spatial Ward	4	2	0.5306965733828893	0.5304975032288598	0.5308956435369189	2	1484.0	0.43455344070278185
GSE285505	GSM8703566_Tumor26	M2_spatial_ward	spatial Ward	6	2	0.38420451023832314	0.3784062537407307	0.39000276673591555	2	1882.0	0.5510980966325036
GSE285505	GSM8703566_Tumor26	M3_spatial_leiden	spatial Leiden	4	1	0.4018206468217198	0.4018206468217198	0.4018206468217198	1	1263.0	0.3698389458272328
GSE285505	GSM8703566_Tumor26	M4_spagcn	SpaGCN-style	4	2	0.5143582543179169	0.5103314327802432	0.5183850758555907	2	1055.0	0.3089311859443631
GSE285505	GSM8703566_Tumor26	M4_spagcn	SpaGCN-style	6	2	0.4878866425924743	0.4875689488566196	0.4882043363283289	2	1141.0	0.3341142020497804
GSE285505	GSM8703566_Tumor26	M5_stagate	STAGATE-style	4	2	0.7991835686939863	0.798983441797553	0.7993836955904198	0	420.0	0.12298682284040996
GSE285505	GSM8703566_Tumor26	M5_stagate	STAGATE-style	6	2	0.5673449565652353	0.534279484749666	0.6004104283808045	1	1141.0	0.3341142020497804
GSE311294	GSM9322957_TR11_206	BayesSpace	BayesSpace	4	2	0.4471075107117613	0.32230381942949293	0.5719112019940297	2	2022.0	0.5403527525387494
GSE311294	GSM9322957_TR11_206	BayesSpace	BayesSpace	6	2	0.6087620532065916	0.5416056338642015	0.6759184725489816	1	1556.0	0.415820416889364
GSE311294	GSM9322957_TR11_206	M0_expr_kmeans	expression-only k-means	4	2	0.9993920741731873	0.9993920741731873	0.9993920741731873	0	1.0	0.0002672367717797969
GSE311294	GSM9322957_TR11_206	M0_expr_kmeans	expression-only k-means	6	2	0.9965373785914278	0.9963123507852549	0.9967624063976007	0	8.0	0.002137894174238375
GSE311294	GSM9322957_TR11_206	M1_spatial_concat_kmeans	coordinate-augmented k-means	4	2	0.9993277013233977	0.9986554026467954	1.0	0	2.0	0.0005344735435595938
