method_id	method_label	n_feature_settings	n_with_opposite_sign_point_estimate	fraction_with_opposite_sign_point_estimate	n_with_interval_supported_opposite_sign_estimate	fraction_with_interval_supported_opposite_sign_estimate	fraction_interval_supported_among_point_changes	n_point_changes_with_reference_interval_including_zero	n_point_changes_with_reference_and_alternative_intervals_including_zero	fraction_with_sign_state_change	fraction_with_block_direction_change	median_effect_range	fraction_all_partitions_same_direction
BayesSpace	BayesSpace	286	35	0.12237762237762238	13	0.045454545454545456	0.37142857142857144	17	12	0.1433566433566433	0.1258741258741259	0.0087511614956697	0.8566433566433567
M0_expr_kmeans	expression-only k-means	286	0	0.0	0	0.0	0.0	0	0	0.0	0.0209790209790209	0.0	1.0
M1_spatial_concat_kmeans	coordinate-augmented k-means	286	1	0.0034965034965034965	0	0.0	0.0	1	1	0.0034965034965034	0.0314685314685314	0.0	0.9965034965034965
M2_spatial_ward	spatial Ward	286	53	0.1853146853146853	8	0.027972027972027972	0.1509433962264151	34	22	0.1958041958041958	0.1363636363636363	0.0211359645352312	0.8041958041958042
M3_spatial_leiden	spatial Leiden	231	34	0.1471861471861472	5	0.021645021645021644	0.14705882352941177	25	21	0.1731601731601731	0.2034632034632034	0.0075565646438957	0.8268398268398268
M4_spagcn	SpaGCN-style	286	23	0.08041958041958042	6	0.02097902097902098	0.2608695652173913	11	9	0.0874125874125874	0.1118881118881118	0.0070844046615081	0.9125874125874126
M5_stagate	STAGATE-style	286	30	0.1048951048951049	6	0.02097902097902098	0.2	18	12	0.1363636363636363	0.1853146853146853	0.0092942420222855	0.8636363636363636
