dataset_id	sample_id	method_id	method_label	K	sensitivity_factor	reference_setting	alternative_setting	metric_name	metric_value	status	scope	source_file
GSE267401	GSM8265214_CTC17M	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_spatial_coherence_median_K6_minus_K4	-0.051925192519251984	success	all available CRC sections	global_characterization.tsv
GSE267401	GSM8265214_CTC17M	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_stability_ari_median_K6_minus_K4	0.057897175006760004	success	all available CRC sections	global_characterization.tsv
GSE285505	GSM8703563_Tumor19	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_marker_coherence_median_K6_minus_K4	-0.043806231116156	success	all available CRC sections	global_characterization.tsv
GSE285505	GSM8703563_Tumor19	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_spatial_coherence_median_K6_minus_K4	-0.03354851330203501	success	all available CRC sections	global_characterization.tsv
GSE285505	GSM8703563_Tumor19	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_stability_ari_median_K6_minus_K4	0.118745481701931	success	all available CRC sections	global_characterization.tsv
GSE285505	GSM8703564_Tumor20	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_marker_coherence_median_K6_minus_K4	0.18103164246595305	success	all available CRC sections	global_characterization.tsv
GSE285505	GSM8703564_Tumor20	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_spatial_coherence_median_K6_minus_K4	-0.04276871131119897	success	all available CRC sections	global_characterization.tsv
GSE285505	GSM8703564_Tumor20	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_stability_ari_median_K6_minus_K4	0.446571259626879	success	all available CRC sections	global_characterization.tsv
GSE285505	GSM8703565_Tumor24	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_marker_coherence_median_K6_minus_K4	-0.16611114240860791	success	all available CRC sections	global_characterization.tsv
GSE285505	GSM8703565_Tumor24	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_spatial_coherence_median_K6_minus_K4	-0.03798807462973608	success	all available CRC sections	global_characterization.tsv
GSE285505	GSM8703565_Tumor24	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_stability_ari_median_K6_minus_K4	-0.29753314503084005	success	all available CRC sections	global_characterization.tsv
GSE285505	GSM8703566_Tumor26	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_marker_coherence_median_K6_minus_K4	-0.01667075297771098	success	all available CRC sections	global_characterization.tsv
GSE285505	GSM8703566_Tumor26	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_spatial_coherence_median_K6_minus_K4	-0.03741843393148403	success	all available CRC sections	global_characterization.tsv
GSE285505	GSM8703566_Tumor26	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_stability_ari_median_K6_minus_K4	-0.278541605870827	success	all available CRC sections	global_characterization.tsv
GSE311294	GSM9322957_TR11_206	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_marker_coherence_median_K6_minus_K4	-0.18979498030727004	success	all available CRC sections	global_characterization.tsv
GSE311294	GSM9322957_TR11_206	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_spatial_coherence_median_K6_minus_K4	-0.09919867366675894	success	all available CRC sections	global_characterization.tsv
GSE311294	GSM9322957_TR11_206	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_stability_ari_median_K6_minus_K4	0.21930181443470803	success	all available CRC sections	global_characterization.tsv
GSE311294	GSM9322958_TR11_16184	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_marker_coherence_median_K6_minus_K4	-0.17953045190388006	success	all available CRC sections	global_characterization.tsv
GSE311294	GSM9322958_TR11_16184	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_spatial_coherence_median_K6_minus_K4	-0.04020425776754899	success	all available CRC sections	global_characterization.tsv
GSE311294	GSM9322958_TR11_16184	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_stability_ari_median_K6_minus_K4	0.23397272652669998	success	all available CRC sections	global_characterization.tsv
GSE311294	GSM9322959_TR11_18105	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_marker_coherence_median_K6_minus_K4	0.21851323202581796	success	all available CRC sections	global_characterization.tsv
GSE311294	GSM9322959_TR11_18105	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_spatial_coherence_median_K6_minus_K4	-0.04576287379382804	success	all available CRC sections	global_characterization.tsv
GSE311294	GSM9322959_TR11_18105	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_stability_ari_median_K6_minus_K4	-0.12128528630953805	success	all available CRC sections	global_characterization.tsv
GSE311294	GSM9322960_TR11_21723	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_marker_coherence_median_K6_minus_K4	-0.2578723199475601	success	all available CRC sections	global_characterization.tsv
GSE311294	GSM9322960_TR11_21723	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_spatial_coherence_median_K6_minus_K4	-0.05378973105134499	success	all available CRC sections	global_characterization.tsv
GSE311294	GSM9322960_TR11_21723	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_stability_ari_median_K6_minus_K4	-0.036530633218757935	success	all available CRC sections	global_characterization.tsv
GSE311294	GSM9322961_TR16_23542	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_marker_coherence_median_K6_minus_K4	0.11069184269488097	success	all available CRC sections	global_characterization.tsv
GSE311294	GSM9322961_TR16_23542	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_spatial_coherence_median_K6_minus_K4	-0.04559843231836003	success	all available CRC sections	global_characterization.tsv
GSE311294	GSM9322961_TR16_23542	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_stability_ari_median_K6_minus_K4	0.373121852246233	success	all available CRC sections	global_characterization.tsv
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	random_seed	seed_11	seed_23	ARI_to_reference_partition	0.9384158760163274	success	all 13 CRC sections	stability_pairwise.tsv
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	random_seed	seed_11	seed_37	ARI_to_reference_partition	0.928817202824643	success	all 13 CRC sections	stability_pairwise.tsv
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	random_seed	seed_11	seed_23	ARI_to_reference_partition	0.7454977461636721	success	all 13 CRC sections	stability_pairwise.tsv
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	random_seed	seed_11	seed_37	ARI_to_reference_partition	0.7402681426551235	success	all 13 CRC sections	stability_pairwise.tsv
GSE267401	GSM8265212_CTC21M	BayesSpace	BayesSpace	4	random_seed	seed_11	seed_23	ARI_to_reference_partition	0.4478118820502322	success	all 13 CRC sections	stability_pairwise.tsv
GSE267401	GSM8265212_CTC21M	BayesSpace	BayesSpace	4	random_seed	seed_11	seed_37	ARI_to_reference_partition	0.906046397733092	success	all 13 CRC sections	stability_pairwise.tsv
GSE267401	GSM8265212_CTC21M	BayesSpace	BayesSpace	6	random_seed	seed_11	seed_23	ARI_to_reference_partition	0.771430773724637	success	all 13 CRC sections	stability_pairwise.tsv
GSE267401	GSM8265212_CTC21M	BayesSpace	BayesSpace	6	random_seed	seed_11	seed_37	ARI_to_reference_partition	0.5507125520969315	success	all 13 CRC sections	stability_pairwise.tsv
GSE267401	GSM8265213_CTC17P	BayesSpace	BayesSpace	4	random_seed	seed_11	seed_23	ARI_to_reference_partition	0.920453344175932	success	all 13 CRC sections	stability_pairwise.tsv
