dataset_id	sample_id	method_id	method_label	K	reference_id	alternative_id	n_spots	n_switching	switching_fraction	n_reference_boundary	n_alternative_boundary	n_union_boundary	n_switching_in_union_boundary	fraction_switching_in_union_boundary	fraction_stable_in_union_boundary	risk_ratio	odds_ratio	odds_ratio_ci_lower	odds_ratio_ci_upper	jaccard_switching_union_boundary	median_distance_switching_to_reference_boundary	median_distance_stable_to_reference_boundary
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_11	seed_23	4690	109	0.0232409381663113	1303	1297	1385	109	1.0	0.2785418030997599	3.5901253918495297	567.1010575793184	35.21975025017091	9131.342704680896	0.07870036101083032	0.0	43.0
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_11	seed_37	4690	125	0.026652452025586353	1303	1307	1400	125	1.0	0.2792990142387733	3.580392156862745	647.5229321834574	40.2466672926317	10417.90478339121	0.08928571428571429	0.0	43.0
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	seed_11	seed_23	4690	890	0.18976545842217485	2131	2116	2377	625	0.702247191011236	0.4610526315789474	1.5231388846134113	2.7569570087016455	2.355912621490934	3.22627073622916	0.23656320968962907	0.0	24.698178070456937
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	seed_11	seed_37	4690	887	0.18912579957356077	2131	2129	2400	630	0.7102593010146562	0.46542203523534054	1.5260543060783827	2.815603772340566	2.403026736893667	3.2990163950760985	0.23710952201731275	0.0	24.698178070456937
GSE267401	GSM8265212_CTC21M	BayesSpace	BayesSpace	4	seed_11	seed_23	3884	955	0.24588053553038106	804	764	1142	482	0.5047120418848168	0.22533287811539773	2.239850864667619	3.5032929720033312	3.0043531202163143	4.085092915710344	0.29845201238390096	25.059928172283335	75.0066663703967
GSE267401	GSM8265212_CTC21M	BayesSpace	BayesSpace	4	seed_11	seed_37	3884	134	0.0345005149330587	804	815	929	134	1.0	0.212	4.716981132075472	999.4085480829667	62.11915479758827	16079.057244675882	0.1442411194833154	0.0	66.09841147864296
GSE267401	GSM8265212_CTC21M	BayesSpace	BayesSpace	6	seed_11	seed_23	3884	329	0.08470648815653965	1118	1065	1324	291	0.8844984802431611	0.2905766526019691	3.0439420109045865	18.696234778621285	13.23121951698343	26.418516785142227	0.21365638766519823	0.0	43.04648650006177
GSE267401	GSM8265212_CTC21M	BayesSpace	BayesSpace	6	seed_11	seed_37	3884	1083	0.27883625128733264	1118	1392	1727	794	0.7331486611265005	0.3330953230988932	2.20101757750839	5.50069908803317	4.706641094572644	6.4287227024766995	0.39384920634920634	24.0	50.0
GSE267401	GSM8265213_CTC17P	BayesSpace	BayesSpace	4	seed_11	seed_23	3721	116	0.031174415479709755	520	506	609	109	0.9396551724137931	0.13869625520110956	6.774913793103449	96.69857142857143	44.77082808856383	208.85505396124307	0.17694805194805194	0.0	90.52071586106685
GSE267401	GSM8265213_CTC17P	BayesSpace	BayesSpace	4	seed_11	seed_37	3721	83	0.022305831765654396	520	493	587	83	1.0	0.13853765805387575	7.218253968253969	1037.5847373637264	64.25864796865292	16753.88638328242	0.141396933560477	0.0	89.8276126811795
GSE267401	GSM8265213_CTC17P	BayesSpace	BayesSpace	6	seed_11	seed_23	3721	749	0.20128997581295352	1040	704	1211	483	0.6448598130841121	0.2449528936742934	2.632587039129095	5.597021399652979	4.715312588974893	6.643599540234042	0.32701421800947866	0.0	43.04648650006177
GSE267401	GSM8265213_CTC17P	BayesSpace	BayesSpace	6	seed_11	seed_37	3721	162	0.04353668368718087	1040	1033	1175	162	1.0	0.284630514189379	3.5133267522211256	816.5885545140602	50.80838655104401	13124.149626232544	0.13787234042553193	0.0	43.0
GSE267401	GSM8265214_CTC17M	BayesSpace	BayesSpace	4	seed_11	seed_23	4757	1705	0.3584191717468993	1552	1748	2171	938	0.5501466275659824	0.40399737876802094	1.3617579134885471	1.8041685039086994	1.6006098348747377	2.0336148882596925	0.3192648059904697	25.0	42.5440947723653
GSE267401	GSM8265214_CTC17M	BayesSpace	BayesSpace	4	seed_11	seed_37	4757	607	0.12760142947235653	1552	1661	1963	507	0.8352553542009885	0.35084337349397593	2.380707225229466	9.380892857142857	7.5002733359810385	11.733059163994227	0.245758603974794	0.0	42.5440947723653
GSE267401	GSM8265214_CTC17M	BayesSpace	BayesSpace	6	seed_11	seed_23	4757	1241	0.2608787050662182	2137	2297	2742	949	0.7647058823529411	0.5099544937428896	1.4995571011449755	3.123117679866146	2.6964680618082157	3.617274085475979	0.3127883981542518	0.0	24.698178070456937
GSE267401	GSM8265214_CTC17M	BayesSpace	BayesSpace	6	seed_11	seed_37	4757	2043	0.42947235652722304	2137	2339	2895	1441	0.7053352912383749	0.5357406042741342	1.3165611969882733	2.074309842935287	1.837171363293606	2.342057692856914	0.4120674864169288	0.0	24.698178070456937
GSE285505	GSM8703563_Tumor19	BayesSpace	BayesSpace	4	seed_11	seed_23	3493	732	0.20956198110506727	675	497	953	424	0.5792349726775956	0.1915972473741398	3.0231904717634053	5.808361770554587	4.877386578197732	6.9170376218377125	0.3362410785091198	131.03434664239754	395.6121838366458
GSE285505	GSM8703563_Tumor19	BayesSpace	BayesSpace	4	seed_11	seed_37	3493	509	0.14572001145147437	675	319	771	289	0.5677799607072691	0.16152815013404825	3.5150527028018486	6.818917389664278	5.579234343398066	8.334052937225474	0.29162462159434915	131.01526628603247	349.4967811010568
GSE285505	GSM8703563_Tumor19	BayesSpace	BayesSpace	6	seed_11	seed_23	3493	447	0.12797022616661896	860	822	1110	351	0.785234899328859	0.24917925147734735	3.1512852481629836	11.016921936758893	8.664367299348894	14.00824373751562	0.291044776119403	0.0	263.04752422328556
GSE285505	GSM8703563_Tumor19	BayesSpace	BayesSpace	6	seed_11	seed_37	3493	306	0.08760377898654452	860	835	1100	289	0.9444444444444444	0.25447128961405713	3.7113988217564047	49.80517879161529	30.341469031308357	81.75463857419561	0.25872873769024174	0.0	229.05457864884517
GSE285505	GSM8703564_Tumor20	BayesSpace	BayesSpace	4	seed_11	seed_23	2473	396	0.16012939749292357	590	584	777	209	0.5277777777777778	0.27347135291285507	1.9299197965571206	2.969241922120961	2.3837759262974614	3.698500976882681	0.21680497925311204	501.00052520950453	229.0
GSE285505	GSM8703564_Tumor20	BayesSpace	BayesSpace	4	seed_11	seed_37	2473	969	0.3918317832591994	590	456	797	391	0.40350877192982454	0.2699468085106383	1.4947714112868378	1.8294697189220517	1.541056050614736	2.171860946341056	0.2843636363636364	228.10962276940444	263.8219096284461
GSE285505	GSM8703564_Tumor20	BayesSpace	BayesSpace	6	seed_11	seed_23	2473	132	0.05337646583097452	891	901	1022	132	1.0	0.38017941050832976	2.6303370786516855	431.9455362156092	26.8418700763543	6950.966744338365	0.12915851272015655	0.0	132.0
GSE285505	GSM8703564_Tumor20	BayesSpace	BayesSpace	6	seed_11	seed_37	2473	143	0.0578245046502224	891	934	1041	143	1.0	0.38540772532188844	2.594654788418708	457.5709515859766	28.445672078557283	7360.3877298832585	0.1373679154658982	0.0	132.0
GSE285505	GSM8703565_Tumor24	BayesSpace	BayesSpace	4	seed_11	seed_23	3563	205	0.05753578445130508	902	873	1067	199	0.9707317073170731	0.258487194758785	3.7554344160953126	95.14400921658986	42.08053991498554	215.1203978868826	0.18546132339235788	0.0	228.47319317591726
GSE285505	GSM8703565_Tumor24	BayesSpace	BayesSpace	4	seed_11	seed_37	3563	382	0.10721302273365142	902	846	1132	276	0.7225130890052356	0.2690977679974851	2.68494642070754	7.072165402927173	5.578329987640403	8.96603886775732	0.22294022617124395	0.0	229.0
GSE285505	GSM8703565_Tumor24	BayesSpace	BayesSpace	6	seed_11	seed_23	3563	327	0.09177659275891104	1178	1200	1419	312	0.9541284403669725	0.3420889987639061	2.7891234264024596	40.00289069557362	23.707556204708798	67.49878604881984	0.2175732217573222	0.0	228.0
GSE285505	GSM8703565_Tumor24	BayesSpace	BayesSpace	6	seed_11	seed_37	3563	1283	0.3600898119562167	1178	1110	1621	784	0.6110678098207326	0.3671052631578947	1.6645574747804903	2.7086718239346075	2.352706621591445	3.118494665864595	0.36981132075471695	131.00381673829202	228.10962276940444
GSE285505	GSM8703566_Tumor26	BayesSpace	BayesSpace	4	seed_11	seed_23	3415	135	0.03953147877013177	732	754	870	135	1.0	0.22408536585365854	4.462585034013605	937.9068660774983	58.29234320511298	15090.64897837486	0.15517241379310345	0.0	347.9727000786125
GSE285505	GSM8703566_Tumor26	BayesSpace	BayesSpace	4	seed_11	seed_37	3415	149	0.04363103953147877	732	742	882	149	1.0	0.22443355786895286	4.455661664392905	1032.7423312883436	64.21694477737952	16608.649423174953	0.1689342403628118	0.0	347.9727000786125
GSE285505	GSM8703566_Tumor26	BayesSpace	BayesSpace	6	seed_11	seed_23	3415	1311	0.38389458272327964	1046	1123	1574	713	0.543859649122807	0.40922053231939165	1.3290135908877887	1.7212990261770749	1.4976889887812503	1.9782947993289264	0.32826887661141807	132.09844813622905	228.10962276940444
GSE285505	GSM8703566_Tumor26	BayesSpace	BayesSpace	6	seed_11	seed_37	3415	516	0.15109809663250365	1046	1018	1366	385	0.7461240310077519	0.338392549154881	2.2049067949964045	5.746045085634693	4.645302343995082	7.107617907546374	0.2571810287241149	0.0	228.10962276940444
