dataset_id	sample_id	method_id	method_label	K	partition_id	is_reference	status	status_reason	tumor_label	stroma_label	tumor_domain_n	stroma_domain_n	tumor_epcam_median	stroma_epcam_median	tumor_stroma_proxy_median	stroma_proxy_median	contrast_id	contrast_label	feature_type	feature_id	genes_used	n_tumor_interface	n_stroma_interface	n_stroma_interior	n_tumor_interior	median_stroma_interface	median_stroma_interior	median_tumor_interface	median_delta	bootstrap_ci_lower	bootstrap_ci_upper	bootstrap_replicates	pvalue_mannwhitney_spot_level	n_mixed_blocks	block_median_delta	block_interval_lower	block_interval_upper	reference_id	reference_delta	reference_ci_lower	reference_ci_upper	reference_block_delta	opposite_sign_vs_reference	reference_interval_excludes_zero	partition_interval_excludes_zero	interval_supported_opposite_sign_vs_reference	attenuated_below_25pct_reference	effect_relation_to_reference
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official BayesSpace nrep1000	4	seed_23	False	success		2.0	1.0	995.0	1737.0	3.0556585544648067	0.0	1.11584916302153	2.7273252684793627	stroma_interface_minus_stroma_interior	COL1A1/FAP-high side adjacent to EPCAM-high domain minus its clear interior	gene	PTPRC	PTPRC	37.0	32.0	1358.0	838.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0		2.0	0.0	0.0	0.0	seed_11	0.0	0.0	0.0	0.0	False	False	False	False	False	same_direction_or_zero
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official BayesSpace nrep1000	4	seed_37	False	success		3.0	1.0	995.0	1750.0	3.058317000785339	0.0	1.1063792651140922	2.724876945121058	stroma_interface_minus_stroma_interior	COL1A1/FAP-high side adjacent to EPCAM-high domain minus its clear interior	gene	PTPRC	PTPRC	47.0	34.0	1367.0	828.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0		2.0	0.0	0.0	0.0	seed_11	0.0	0.0	0.0	0.0	False	False	False	False	False	same_direction_or_zero
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official BayesSpace nrep1000	4	seed_11	True	success		4.0	1.0	993.0	1746.0	3.058317000785339	0.0	1.1080910815773508	2.727020393664626	stroma_interface_minus_stroma_interior	COL1A1/FAP-high side adjacent to EPCAM-high domain minus its clear interior	signature	SIG_CAF_FAP	FAP,COL1A1,DCN,COL3A1,LUM	43.0	34.0	1360.0	829.0	0.9449403514884018	2.5860861765745526	0.8981660528058901	-1.6411458250861508	-1.7275412735155995	-1.513571777053678	1000.0		2.0	0.0315580304938524	-0.0040587702719173	0.0671748312596221	seed_11	-1.6411458250861508	-1.7275412735155995	-1.513571777053678	0.0315580304938524	False	True	True	False	False	reference
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official BayesSpace nrep1000	4	seed_23	False	success		2.0	1.0	995.0	1737.0	3.0556585544648067	0.0	1.11584916302153	2.7273252684793627	stroma_interface_minus_stroma_interior	COL1A1/FAP-high side adjacent to EPCAM-high domain minus its clear interior	signature	SIG_CAF_FAP	FAP,COL1A1,DCN,COL3A1,LUM	37.0	32.0	1358.0	838.0	0.9449403514884018	2.5849017815985804	0.919666984842522	-1.6399614301101786	-1.7201963139157523	-1.5158286984796816	1000.0		2.0	0.0310917831031136	-0.0040820826414542	0.0662656488476815	seed_11	-1.6411458250861508	-1.7275412735155995	-1.513571777053678	0.0315580304938524	False	True	True	False	False	same_direction_or_zero
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official BayesSpace nrep1000	4	seed_37	False	success		3.0	1.0	995.0	1750.0	3.058317000785339	0.0	1.1063792651140922	2.724876945121058	stroma_interface_minus_stroma_interior	COL1A1/FAP-high side adjacent to EPCAM-high domain minus its clear interior	signature	SIG_CAF_FAP	FAP,COL1A1,DCN,COL3A1,LUM	47.0	34.0	1367.0	828.0	0.9449403514884018	2.5842347863931945	0.919518653172292	-1.6392944349047929	-1.733426883875008	-1.5094739131450714	1000.0		2.0	0.0310917831031136	-0.0040820826414542	0.0662656488476815	seed_11	-1.6411458250861508	-1.7275412735155995	-1.513571777053678	0.0315580304938524	False	True	True	False	False	same_direction_or_zero
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official BayesSpace nrep1000	4	seed_11	True	success		4.0	1.0	993.0	1746.0	3.058317000785339	0.0	1.1080910815773508	2.727020393664626	stroma_interface_minus_stroma_interior	COL1A1/FAP-high side adjacent to EPCAM-high domain minus its clear interior	signature	SIG_CYTOTOX	NKG7,GNLY,GZMB,PRF1,IFNG	43.0	34.0	1360.0	829.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0		2.0	0.0	0.0	0.0	seed_11	0.0	0.0	0.0	0.0	False	False	False	False	False	reference
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official BayesSpace nrep1000	4	seed_23	False	success		2.0	1.0	995.0	1737.0	3.0556585544648067	0.0	1.11584916302153	2.7273252684793627	stroma_interface_minus_stroma_interior	COL1A1/FAP-high side adjacent to EPCAM-high domain minus its clear interior	signature	SIG_CYTOTOX	NKG7,GNLY,GZMB,PRF1,IFNG	37.0	32.0	1358.0	838.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0		2.0	0.0	0.0	0.0	seed_11	0.0	0.0	0.0	0.0	False	False	False	False	False	same_direction_or_zero
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official BayesSpace nrep1000	4	seed_37	False	success		3.0	1.0	995.0	1750.0	3.058317000785339	0.0	1.1063792651140922	2.724876945121058	stroma_interface_minus_stroma_interior	COL1A1/FAP-high side adjacent to EPCAM-high domain minus its clear interior	signature	SIG_CYTOTOX	NKG7,GNLY,GZMB,PRF1,IFNG	47.0	34.0	1367.0	828.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0		2.0	0.0	0.0	0.0	seed_11	0.0	0.0	0.0	0.0	False	False	False	False	False	same_direction_or_zero
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official BayesSpace nrep1000	4	seed_11	True	success		4.0	1.0	993.0	1746.0	3.058317000785339	0.0	1.1080910815773508	2.727020393664626	stroma_interface_minus_stroma_interior	COL1A1/FAP-high side adjacent to EPCAM-high domain minus its clear interior	signature	SIG_EXCLUSION_CONTRAST	CAF:FAP,COL1A1,DCN,COL3A1,LUM;MY:SPP1,LST1,TYROBP,C1QA,C1QB,C1QC;TCELL:TRAC,CD3D,CD3E,CD247	43.0	34.0	1360.0	829.0	1.149274793870485	2.619403158236234	0.975212103830222	-1.470128364365749	-1.6353495028764813	-1.284105623906217	1000.0		2.0	-0.1691896616197259	-0.3202829893518596	-0.0180963338875922	seed_11	-1.470128364365749	-1.6353495028764813	-1.284105623906217	-0.1691896616197259	False	True	True	False	False	reference
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official BayesSpace nrep1000	4	seed_23	False	success		2.0	1.0	995.0	1737.0	3.0556585544648067	0.0	1.11584916302153	2.7273252684793627	stroma_interface_minus_stroma_interior	COL1A1/FAP-high side adjacent to EPCAM-high domain minus its clear interior	signature	SIG_EXCLUSION_CONTRAST	CAF:FAP,COL1A1,DCN,COL3A1,LUM;MY:SPP1,LST1,TYROBP,C1QA,C1QB,C1QC;TCELL:TRAC,CD3D,CD3E,CD247	37.0	32.0	1358.0	838.0	1.149274793870485	2.618006981582055	1.0514635397769023	-1.46873218771157	-1.6303322593204068	-1.2784898391801582	1000.0		2.0	-0.160908105371626	-0.3198689115394546	-0.0019472992037974	seed_11	-1.470128364365749	-1.6353495028764813	-1.284105623906217	-0.1691896616197259	False	True	True	False	False	same_direction_or_zero
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official BayesSpace nrep1000	4	seed_37	False	success		3.0	1.0	995.0	1750.0	3.058317000785339	0.0	1.1063792651140922	2.724876945121058	stroma_interface_minus_stroma_interior	COL1A1/FAP-high side adjacent to EPCAM-high domain minus its clear interior	signature	SIG_EXCLUSION_CONTRAST	CAF:FAP,COL1A1,DCN,COL3A1,LUM;MY:SPP1,LST1,TYROBP,C1QA,C1QB,C1QC;TCELL:TRAC,CD3D,CD3E,CD247	47.0	34.0	1367.0	828.0	1.149274793870485	2.616694509247589	1.003047686960245	-1.4674197153771038	-1.634002130191895	-1.275573473097643	1000.0		2.0	-0.1774712178678258	-0.3206970671642646	-0.034245368571387	seed_11	-1.470128364365749	-1.6353495028764813	-1.284105623906217	-0.1691896616197259	False	True	True	False	False	same_direction_or_zero
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official BayesSpace nrep1000	4	seed_11	True	success		4.0	1.0	993.0	1746.0	3.058317000785339	0.0	1.1080910815773508	2.727020393664626	stroma_interface_minus_stroma_interior	COL1A1/FAP-high side adjacent to EPCAM-high domain minus its clear interior	signature	SIG_EXCLUSION_TGFB_CXCL12	TGFB1,CXCL12,ACTA2,TAGLN,FAP,COL1A1	43.0	34.0	1360.0	829.0	0.4879484134764169	1.513704552112264	0.4276107159548782	-1.0257561386358471	-1.0895222629921424	-0.9129095986829968	1000.0		2.0	0.0065288260975323	-0.016436119029015	0.0294937712240796	seed_11	-1.0257561386358471	-1.0895222629921424	-0.9129095986829968	0.0065288260975323	False	True	True	False	False	reference
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official BayesSpace nrep1000	4	seed_23	False	success		2.0	1.0	995.0	1737.0	3.0556585544648067	0.0	1.11584916302153	2.7273252684793627	stroma_interface_minus_stroma_interior	COL1A1/FAP-high side adjacent to EPCAM-high domain minus its clear interior	signature	SIG_EXCLUSION_TGFB_CXCL12	TGFB1,CXCL12,ACTA2,TAGLN,FAP,COL1A1	37.0	32.0	1358.0	838.0	0.4879484134764169	1.5117591218099538	0.4436819740789784	-1.0238107083335368	-1.0892155595253667	-0.9181634700224311	1000.0		2.0	0.0029692194571996	-0.0233773519776636	0.0293157908920629	seed_11	-1.0257561386358471	-1.0895222629921424	-0.9129095986829968	0.0065288260975323	False	True	True	False	False	same_direction_or_zero
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official BayesSpace nrep1000	4	seed_37	False	success		3.0	1.0	995.0	1750.0	3.058317000785339	0.0	1.1063792651140922	2.724876945121058	stroma_interface_minus_stroma_interior	COL1A1/FAP-high side adjacent to EPCAM-high domain minus its clear interior	signature	SIG_EXCLUSION_TGFB_CXCL12	TGFB1,CXCL12,ACTA2,TAGLN,FAP,COL1A1	47.0	34.0	1367.0	828.0	0.4879484134764169	1.5094496410641889	0.4436819740789784	-1.0215012275877715	-1.0815851090309612	-0.9133096208850262	1000.0		2.0	0.0100884327378648	-0.0094948860803664	0.0296717515560962	seed_11	-1.0257561386358471	-1.0895222629921424	-0.9129095986829968	0.0065288260975323	False	True	True	False	False	same_direction_or_zero
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official BayesSpace nrep1000	4	seed_11	True	success		4.0	1.0	993.0	1746.0	3.058317000785339	0.0	1.1080910815773508	2.727020393664626	stroma_interface_minus_stroma_interior	COL1A1/FAP-high side adjacent to EPCAM-high domain minus its clear interior	signature	SIG_MY_SPP1	SPP1,LST1,TYROBP,C1QA,C1QB,C1QC	43.0	34.0	1360.0	829.0	0.2661636892580239	0.0	0.1615559844899147	0.2661636892580239	0.0	0.2880537454793338	1000.0		2.0	-0.2333848169447684	-0.2712301548944369	-0.1955394789951	seed_11	0.2661636892580239	0.0	0.2880537454793338	-0.2333848169447684	False	False	False	False	False	reference
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official BayesSpace nrep1000	4	seed_23	False	success		2.0	1.0	995.0	1737.0	3.0556585544648067	0.0	1.11584916302153	2.7273252684793627	stroma_interface_minus_stroma_interior	COL1A1/FAP-high side adjacent to EPCAM-high domain minus its clear interior	signature	SIG_MY_SPP1	SPP1,LST1,TYROBP,C1QA,C1QB,C1QC	37.0	32.0	1358.0	838.0	0.2727330046648255	0.0	0.1998109127126997	0.2727330046648255	0.0	0.2964930615755233	1000.0		2.0	-0.2352201721036095	-0.271321922652379	-0.1991184215548401	seed_11	0.2661636892580239	0.0	0.2880537454793338	-0.2333848169447684	False	False	False	False	False	same_direction_or_zero
