dataset_id	sample_id	method_id	method_label	K	feature_type	feature_id	genes_used	reference_id	reference_delta	n_alternatives	minimum_delta	maximum_delta	delta_range	n_sign_state_changes_vs_reference	any_sign_state_change_vs_reference	n_direction_reversals_vs_reference	any_direction_reversal_vs_reference	n_zero_involved_changes_vs_reference	all_partitions_same_direction	reference_block_delta	median_block_delta	n_partitions_with_evaluable_blocks	n_block_direction_reversals_vs_reference	any_block_direction_reversal_vs_reference
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	gene	COL1A1	COL1A1	seed_11	-0.8723537790417422	2	-0.8890772776949607	-0.8723537790417422	0.016723498653218538	0	False	0	False	0	1	-0.15180578465959882	-0.330000910027612	3	0	False
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	gene	EPCAM	EPCAM	seed_11	0.09631315914006944	2	0.09166338569312726	0.11077176570176839	0.019108380008641124	0	False	0	False	0	1	0.09255140242885362	0.06555337853673637	3	0	False
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	gene	FAP	FAP	seed_11	0.0	2	0.0	0.0	0.0	0	False	0	False	0	1	0.0	0.0	3	0	False
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	gene	PTPRC	PTPRC	seed_11	0.0	2	0.0	0.0	0.0	0	False	0	False	0	1	0.0	0.0	3	0	False
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	gene	SPP1	SPP1	seed_11	0.0	2	0.0	0.0	0.0	0	False	0	False	0	1	0.0	0.0	3	0	False
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	signature	SIG_CAF_FAP	FAP,COL1A1,DCN,COL3A1,LUM	seed_11	-0.4873973586669682	2	-0.5119990712847566	-0.4873973586669682	0.02460171261778843	0	False	0	False	0	1	-0.02321759963997516	-0.04832532200342321	3	0	False
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	signature	SIG_CYTOTOX	NKG7,GNLY,GZMB,PRF1,IFNG	seed_11	0.0	2	0.0	0.0	0.0	0	False	0	False	0	1	0.0	0.0	3	0	False
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	signature	SIG_EXCLUSION_CONTRAST	CAF:FAP,COL1A1,DCN,COL3A1,LUM;MY:SPP1,LST1,TYROBP,C1QA,C1QB,C1QC;TCELL:TRAC,CD3D,CD3E,CD247	seed_11	-0.5164368604824061	2	-0.5185375033936155	-0.5126878933212689	0.005849610072346634	0	False	0	False	0	1	0.006151050136123937	-0.03177416734276539	3	2	True
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	signature	SIG_EXCLUSION_TGFB_CXCL12	TGFB1,CXCL12,ACTA2,TAGLN,FAP,COL1A1	seed_11	-0.295878158889324	2	-0.29945774442899686	-0.2920267995765018	0.007430944852495069	0	False	0	False	0	1	-0.03704263313648559	-0.04891389631142232	3	0	False
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	signature	SIG_MY_SPP1	SPP1,LST1,TYROBP,C1QA,C1QB,C1QC	seed_11	0.05936278793113034	2	0.05788167350283624	0.05936278793113034	0.0014811144282941002	0	False	0	False	0	1	0.0	0.0	3	0	False
