dataset_id	sample_id	method_id	method_label	K	seed_count	spatial_coherence_median	spatial_coherence_iqr	marker_coherence_median	marker_coherence_iqr	stability_ari_median	stability_ari_iqr	failure_rate	status	failure_reason	source_origin
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	3.0	0.910137745062313	0.001421179214343	1.97088160303881	0.0082359196452361	0.928817202824643	0.007202100855855	0.0	success		results/cross_method_boundary/runs/bayesspace/GSE267401_GSM8265211_CTC21P.tsv
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	3.0	0.83317542453174	0.0033160848334669	1.85539100447058	0.0093974024124023	0.745497746163672	0.10053682866031	0.0	success		results/cross_method_boundary/runs/bayesspace/GSE267401_GSM8265211_CTC21P.tsv
GSE267401	GSM8265212_CTC21M	BayesSpace	BayesSpace	4	3.0	0.932622524863364	0.0043006899023385	1.49780141229409	0.125927898285496	0.450466313348106	0.22911725784143	0.0	success		results/cross_method_boundary/runs/bayesspace/GSE267401_GSM8265212_CTC21M.tsv
GSE267401	GSM8265212_CTC21M	BayesSpace	BayesSpace	6	3.0	0.906907983155631	0.0167547710778604	1.61291909503116	0.0329008978399212	0.550712552096931	0.125985663219872	0.0	success		results/cross_method_boundary/runs/bayesspace/GSE267401_GSM8265212_CTC21M.tsv
GSE267401	GSM8265213_CTC17P	BayesSpace	BayesSpace	4	3.0	0.966227519866165	0.0013592639063153	1.07456762407214	0.0067297102254686	0.939782653739334	0.0107871801011719	0.0	success		results/cross_method_boundary/runs/bayesspace/GSE267401_GSM8265213_CTC17P.tsv
GSE267401	GSM8265213_CTC17P	BayesSpace	BayesSpace	6	3.0	0.918653283145128	0.0145336679213718	1.10054830778161	0.0150285842145899	0.710698905811129	0.101637340032257	0.0	success		results/cross_method_boundary/runs/bayesspace/GSE267401_GSM8265213_CTC17P.tsv
GSE267401	GSM8265214_CTC17M	BayesSpace	BayesSpace	4	3.0	0.886175284195086	0.0054272093876055	0.552227384588828	0.0128900731311121	0.373869212919595	0.148258638069813	0.0	success		results/cross_method_boundary/runs/bayesspace/GSE267401_GSM8265214_CTC17M.tsv
GSE267401	GSM8265214_CTC17M	BayesSpace	BayesSpace	6	3.0	0.834250091675834	0.0045104510451046	0.600651614347711	0.0569007205705396	0.431766387926355	0.104581072440137	0.0	success		results/cross_method_boundary/runs/bayesspace/GSE267401_GSM8265214_CTC17M.tsv
GSE285505	GSM8703563_Tumor19	BayesSpace	BayesSpace	4	3.0	0.955105633802817	0.0155516431924883	0.485023847423829	0.0671286608840431	0.630238868854907	0.123852001024495	0.0	success		results/cross_method_boundary/runs/bayesspace/GSE285505_GSM8703563_Tumor19.tsv
GSE285505	GSM8703563_Tumor19	BayesSpace	BayesSpace	6	3.0	0.921557120500782	0.0012715179968702	0.441217616307673	0.0216641155419783	0.748984350556838	0.0261541469878773	0.0	success		results/cross_method_boundary/runs/bayesspace/GSE285505_GSM8703563_Tumor19.tsv
