dataset_id	sample_id	K	method_id	method_label	implementation_setting	n_alternatives	median_ari	min_ari	max_ari	n_below_0_60	n_union_switching	union_switching_fraction	pairwise_median_switching_fraction	pairwise_median_fraction_switching_in_boundary	pairwise_median_risk_ratio	pairwise_fraction_rr_above_one	n_feature_units	fraction_with_direction_reversal	fraction_with_sign_state_change	fraction_with_block_direction_reversal	median_effect_range	fraction_all_partitions_same_direction	current_method_id	n_comparison_feature_units	fraction_reference_delta_sign_agrees	official_fraction_direction_reversal	current_fraction_direction_reversal	official_fraction_sign_state_change	current_fraction_sign_state_change
GSE267401	GSM8265211_CTC21P	4	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	Bioconductor BayesSpace; nrep=1000; fixed K=4/K=6; seeds 11, 23, 37.	2	0.9755868639147716	0.9748206294386088	0.976353098390934	0	65	0.0138592750533049	0.0090618336886993	1.0	3.6379888651551413	1.0	11	0.0	0.0	0.0	0.0020544884586818	1.0	BayesSpace	11	1.0	0.0	0.0	0.0	0.0
GSE267401	GSM8265211_CTC21P	6	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	Bioconductor BayesSpace; nrep=1000; fixed K=4/K=6; seeds 11, 23, 37.	2	0.7870169698208964	0.7852420245283863	0.7887919151134066	0	875	0.1865671641791045	0.18113006396588485	0.6809866278666944	1.502637887870751	1.0	11	0.0	0.0	0.18181818181818182	0.0328457659284212	1.0	BayesSpace	11	1.0	0.0	0.0	0.0	0.0
GSE311294	GSM9322957_TR11_206	4	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	Bioconductor BayesSpace; nrep=1000; fixed K=4/K=6; seeds 11, 23, 37.	2	0.7116770456254818	0.4502686709438485	0.9730854203071152	1	1302	0.3479422768572955	0.17717797969000532	0.7472910216718266	4.199882580709038	1.0	11	0.36363636363636365	0.36363636363636365	0.2727272727272727	0.0221324808072051	0.6363636363636364	BayesSpace	11	1.0	0.36363636363636365	0.36363636363636365	0.36363636363636365	0.36363636363636365
GSE311294	GSM9322957_TR11_206	6	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	Bioconductor BayesSpace; nrep=1000; fixed K=4/K=6; seeds 11, 23, 37.	2	0.5777063615395578	0.5446228416598097	0.6107898814193059	1	1589	0.4246392303580972	0.29756814537680387	0.8385562831306517	1.6545851869199462	1.0	11	0.09090909090909091	0.09090909090909091	0.2727272727272727	0.0290248041269129	0.9090909090909091	BayesSpace	11	1.0	0.09090909090909091	0.09090909090909091	0.09090909090909091	0.09090909090909091
GSE311294	GSM9322959_TR11_18105	4	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	Bioconductor BayesSpace; nrep=1000; fixed K=4/K=6; seeds 11, 23, 37.	2	0.8110258686757454	0.6556310584478146	0.9664206789036764	0	719	0.1957527906343588	0.1016879934658317	0.7322948328267478	2.6766539878561657	1.0	11	0.09090909090909091	0.09090909090909091	0.0	0.0	0.9090909090909091	BayesSpace	11	1.0	0.09090909090909091	0.09090909090909091	0.09090909090909091	0.09090909090909091
GSE311294	GSM9322959_TR11_18105	6	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	Bioconductor BayesSpace; nrep=1000; fixed K=4/K=6; seeds 11, 23, 37.	2	0.5538018123031635	0.5236968433208414	0.5839067812854856	2	1573	0.4282602777021508	0.2689899264906071	0.6906128107427475	1.810650834821447	1.0	11	0.18181818181818182	0.18181818181818182	0.18181818181818182	0.0	0.8181818181818182	BayesSpace	11	1.0	0.18181818181818182	0.09090909090909091	0.18181818181818182	0.09090909090909091
GSE267401	GSM8265211_CTC21P	4	Official_STAGATE_pyG	Official_STAGATE_pyG	STAGATE-linked PyG implementation; KNN spatial graph; 1000 epochs; KMeans fixed-K clustering of learned embedding.	2	0.9459440638081305	0.9454619202925524	0.9464262073237084	0	121	0.0257995735607675	0.0191897654584221	1.0	1.835242450202038	1.0	11	0.0	0.0	0.0	0.0088882988058943	1.0	M5_stagate	11	0.8181818181818182	0.0	0.0	0.0	0.0
GSE267401	GSM8265211_CTC21P	6	Official_STAGATE_pyG	Official_STAGATE_pyG	STAGATE-linked PyG implementation; KNN spatial graph; 1000 epochs; KMeans fixed-K clustering of learned embedding.	2	0.9061058979146912	0.901568508441724	0.9106432873876588	0	234	0.0498933901918976	0.0430703624733475	0.9603484235063183	1.5793457242091589	1.0	11	0.0	0.0	0.0	0.0047939778304377	1.0	M5_stagate	11	0.9090909090909091	0.0	0.36363636363636365	0.0	0.36363636363636365
GSE311294	GSM9322957_TR11_206	4	Official_STAGATE_pyG	Official_STAGATE_pyG	STAGATE-linked PyG implementation; KNN spatial graph; 1000 epochs; KMeans fixed-K clustering of learned embedding.	2	0.982702196463822	0.9818274295064796	0.9835769634211642	0	26	0.0069481560662747	0.0056119722073757	1.0	2.276537567515974	1.0	11	0.0	0.0	0.0	0.0007267599774644	1.0	M5_stagate	11	1.0	0.0	0.0	0.0	0.0
GSE311294	GSM9322957_TR11_206	6	Official_STAGATE_pyG	Official_STAGATE_pyG	STAGATE-linked PyG implementation; KNN spatial graph; 1000 epochs; KMeans fixed-K clustering of learned embedding.	2	0.975787923187056	0.9739701551274252	0.9776056912466866	0	48	0.0128273650454302	0.00908605024051305	1.0	1.804381986712814	1.0	11	0.0	0.0	0.0	0.0013919871687647	1.0	M5_stagate	11	1.0	0.0	0.2727272727272727	0.0	0.2727272727272727
