method_id	method_label	n_comparisons	median_switching_fraction	median_fraction_switching_in_boundary	median_fraction_stable_in_boundary	median_risk_ratio	median_odds_ratio	median_jaccard	fraction_rr_above_one
BayesSpace	BayesSpace	52	0.12991917901737543	0.821473830946648	0.28760358339567405	2.6124959335351967	7.328311301644995	0.23947867405213463	1.0
M0_expr_kmeans	expression-only k-means	52	0.0019529761128342907	1.0	0.6625774366201433	1.4910862242196168	6.677787451715679	0.00300840427136553	0.8461538461538461
M1_spatial_concat_kmeans	coordinate-augmented k-means	52	0.0017429915910305476	1.0	0.6610219424231303	1.484393063583815	8.990194096796595	0.003116778384272513	0.7884615384615384
M2_spatial_ward	spatial Ward	52	0.2205548698587868	0.5748815425147675	0.24776226279985678	2.348329550150537	4.239795687595218	0.2921892678029976	0.9807692307692307
M3_spatial_leiden	spatial Leiden	35	0.23794916739702016	0.2839838492597577	0.09532914504233816	2.7544223881503065	3.512614978004208	0.22233930453108536	1.0
M4_spagcn	SpaGCN-style	50	0.23694157185601375	0.9819913961435196	0.5872466240227434	1.5286067429254775	26.98053797631465	0.27811525009216054	1.0
M5_stagate	STAGATE-style	52	0.24378181528879012	0.9417476768163681	0.4861679983313397	1.870749243814255	13.585138393653637	0.332621800044724	0.9807692307692307
