dataset_id	sample_id	method_id	method_label	K	expected_replicates	successful_replicates	replicate_ids	invalid_replicates	observed_domain_counts	n_spots	reference_id	status	source_file	failure_reason	failed_replicates
GSE267401	GSM8265211_CTC21P	M0_expr_kmeans	expression-only k-means	6	3	3	seed_11,seed_23,seed_37		seed_11:6;seed_23:6;seed_37:6	4690	seed_11	complete	GSE267401_core.tsv		
GSE267401	GSM8265212_CTC21M	M0_expr_kmeans	expression-only k-means	4	3	3	seed_11,seed_23,seed_37		seed_11:4;seed_23:4;seed_37:4	3884	seed_11	complete	GSE267401_core.tsv		
GSE267401	GSM8265212_CTC21M	M0_expr_kmeans	expression-only k-means	6	3	3	seed_11,seed_23,seed_37		seed_11:6;seed_23:6;seed_37:6	3884	seed_11	complete	GSE267401_core.tsv		
GSE267401	GSM8265213_CTC17P	M0_expr_kmeans	expression-only k-means	4	3	3	seed_11,seed_23,seed_37		seed_11:4;seed_23:4;seed_37:4	3721	seed_11	complete	GSE267401_core.tsv		
GSE267401	GSM8265213_CTC17P	M0_expr_kmeans	expression-only k-means	6	3	3	seed_11,seed_23,seed_37		seed_11:6;seed_23:6;seed_37:6	3721	seed_11	complete	GSE267401_core.tsv		
GSE267401	GSM8265214_CTC17M	M0_expr_kmeans	expression-only k-means	4	3	3	seed_11,seed_23,seed_37		seed_11:4;seed_23:4;seed_37:4	4757	seed_11	complete	GSE267401_core.tsv		
GSE267401	GSM8265214_CTC17M	M0_expr_kmeans	expression-only k-means	6	3	3	seed_11,seed_23,seed_37		seed_11:6;seed_23:6;seed_37:6	4757	seed_11	complete	GSE267401_core.tsv		
GSE285505	GSM8703563_Tumor19	M0_expr_kmeans	expression-only k-means	4	3	3	seed_11,seed_23,seed_37		seed_11:4;seed_23:4;seed_37:4	3493	seed_11	complete	GSE285505_core.tsv		
GSE285505	GSM8703563_Tumor19	M0_expr_kmeans	expression-only k-means	6	3	3	seed_11,seed_23,seed_37		seed_11:6;seed_23:6;seed_37:6	3493	seed_11	complete	GSE285505_core.tsv		
GSE285505	GSM8703564_Tumor20	M0_expr_kmeans	expression-only k-means	4	3	3	seed_11,seed_23,seed_37		seed_11:4;seed_23:4;seed_37:4	2473	seed_11	complete	GSE285505_core.tsv		
