dataset_id	sample_id	method_id	method_label	K	partition_id	is_reference	feature_type	feature_id	genes_used	n_boundary	n_interior	median_boundary	median_interior	median_delta_boundary_minus_interior	bootstrap_ci_lower	bootstrap_ci_upper	bootstrap_replicates	pvalue_mannwhitney_spot_level	n_mixed_blocks	block_median_delta	block_interval_lower	block_interval_upper	fdr_bh_within_partition
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_37	False	signature	SIG_CYTOTOX	NKG7,GNLY,GZMB,PRF1,IFNG	1307	3383	0.0	0.0	0.0	0.0	0.0	1000	1.124791996512712e-06	32	0.0	-0.05738823225047131	0.22311362420916778	2.0621186602733054e-06
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_11	True	signature	SIG_EXCLUSION_CONTRAST	CAF:FAP,COL1A1,DCN,COL3A1,LUM;MY:SPP1,LST1,TYROBP,C1QA,C1QB,C1QC;TCELL:TRAC,CD3D,CD3E,CD247	1303	3387	1.1592141065280395	1.6756509670104456	-0.5164368604824061	-0.6230175218171509	-0.4099278284203463	1000	8.659151289932991e-12	31	0.006151050136123937	-0.9445946382908168	1.494906665513886	1.905013283785258e-11
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_23	False	signature	SIG_EXCLUSION_CONTRAST	CAF:FAP,COL1A1,DCN,COL3A1,LUM;MY:SPP1,LST1,TYROBP,C1QA,C1QB,C1QC;TCELL:TRAC,CD3D,CD3E,CD247	1297	3393	1.162678642200285	1.675366535521554	-0.5126878933212689	-0.6122913168831864	-0.4026557472224708	1000	9.385466047111255e-12	32	-0.04774201176868892	-1.080627976928134	1.4573086647704065	2.0648025303644763e-11
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_37	False	signature	SIG_EXCLUSION_CONTRAST	CAF:FAP,COL1A1,DCN,COL3A1,LUM;MY:SPP1,LST1,TYROBP,C1QA,C1QB,C1QC;TCELL:TRAC,CD3D,CD3E,CD247	1307	3383	1.1592141065280395	1.677751609921655	-0.5185375033936155	-0.6272240593719987	-0.4191496804803865	1000	9.657192085837325e-14	32	-0.03177416734276539	-1.1894776215343992	1.4607259346889967	2.6557278236052646e-13
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_11	True	signature	SIG_EXCLUSION_TGFB_CXCL12	TGFB1,CXCL12,ACTA2,TAGLN,FAP,COL1A1	1303	3387	0.5073075017228658	0.8031856606121898	-0.295878158889324	-0.3520734265379433	-0.24706485772621603	1000	4.436688241945206e-19	31	-0.03704263313648559	-0.8122559004461105	0.8658073679714544	2.5943693427642737e-18
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_23	False	signature	SIG_EXCLUSION_TGFB_CXCL12	TGFB1,CXCL12,ACTA2,TAGLN,FAP,COL1A1	1297	3393	0.5100174583426712	0.802044257919173	-0.2920267995765018	-0.35357010346990814	-0.2480969826508524	1000	4.154493438667888e-19	32	-0.04891389631142232	-0.7696797428490895	0.8190547142451188	2.3232864786612157e-18
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_37	False	signature	SIG_EXCLUSION_TGFB_CXCL12	TGFB1,CXCL12,ACTA2,TAGLN,FAP,COL1A1	1307	3383	0.5080722076952409	0.8075299521242377	-0.29945774442899686	-0.357693854591838	-0.2531302597323509	1000	3.0933636699346877e-21	32	-0.05169118334780082	-0.8055570503442042	0.791369850200051	1.8547330074085873e-20
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_11	True	signature	SIG_MY_SPP1	SPP1,LST1,TYROBP,C1QA,C1QB,C1QC	1303	3387	0.18730610832339037	0.12794332039226003	0.05936278793113034	0.035254706505131864	0.0827743401251546	1000	1.4619385839744061e-05	31	0.0	-0.13781834615421124	0.43962881656214625	2.2973320605312096e-05
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_23	False	signature	SIG_MY_SPP1	SPP1,LST1,TYROBP,C1QA,C1QB,C1QC	1297	3393	0.18736177696649348	0.1293418416924151	0.058019935274078366	0.03401804250070106	0.08106477010905905	1000	1.787538500372004e-05	32	0.0	-0.16674713475959196	0.4442678201470394	2.8089890720131494e-05
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_37	False	signature	SIG_MY_SPP1	SPP1,LST1,TYROBP,C1QA,C1QB,C1QC	1307	3383	0.18722351519525135	0.1293418416924151	0.05788167350283624	0.03423740432528171	0.07887840382737654	1000	5.76347294424598e-05	32	0.0	-0.19633938371036927	0.526695813445843	9.056886055243682e-05
