dataset_id	sample_id	method_id	method_label	K	reference_id	alternative_id	stability_type	ari	below_0_60	n_spots	n_switching	switching_fraction
GSE311294	GSM9322958_TR11_16184	BayesSpace	BayesSpace	6	seed_11	seed_37	seed_pair_ari	0.6796126415312649	False	4732	1096	0.231614539306847
GSE311294	GSM9322959_TR11_18105	BayesSpace	BayesSpace	4	seed_11	seed_23	seed_pair_ari	0.6023154570081374	False	3673	868	0.23631908521644432
GSE311294	GSM9322959_TR11_18105	BayesSpace	BayesSpace	4	seed_11	seed_37	seed_pair_ari	0.9366985187074904	False	3673	94	0.0255921589980942
GSE311294	GSM9322959_TR11_18105	BayesSpace	BayesSpace	6	seed_11	seed_23	seed_pair_ari	0.5391898969819523	True	3673	1039	0.2828750340321263
GSE311294	GSM9322959_TR11_18105	BayesSpace	BayesSpace	6	seed_11	seed_37	seed_pair_ari	0.498869144059121	True	3673	1019	0.27742989381976585
GSE311294	GSM9322960_TR11_21723	BayesSpace	BayesSpace	4	seed_11	seed_23	seed_pair_ari	0.9585380652220641	False	4362	73	0.016735442457588262
GSE311294	GSM9322960_TR11_21723	BayesSpace	BayesSpace	4	seed_11	seed_37	seed_pair_ari	0.9713024832978964	False	4362	49	0.011233379183860614
GSE311294	GSM9322960_TR11_21723	BayesSpace	BayesSpace	6	seed_11	seed_23	seed_pair_ari	0.9402580393780383	False	4362	135	0.030949105914718018
GSE311294	GSM9322960_TR11_21723	BayesSpace	BayesSpace	6	seed_11	seed_37	seed_pair_ari	0.9268634544484406	False	4362	163	0.03736817973406694
GSE311294	GSM9322961_TR16_23542	BayesSpace	BayesSpace	4	seed_11	seed_23	seed_pair_ari	0.4282190094019782	True	4564	1823	0.39943032427695
GSE311294	GSM9322961_TR16_23542	BayesSpace	BayesSpace	4	seed_11	seed_37	seed_pair_ari	0.8483305090939658	False	4564	313	0.06858019281332164
GSE311294	GSM9322961_TR16_23542	BayesSpace	BayesSpace	6	seed_11	seed_23	seed_pair_ari	0.805567964802918	False	4564	569	0.12467134092900964
GSE311294	GSM9322961_TR16_23542	BayesSpace	BayesSpace	6	seed_11	seed_37	seed_pair_ari	0.858587948407416	False	4564	290	0.0635407537248028
GSE267401	GSM8265211_CTC21P	M0_expr_kmeans	expression-only k-means	4	seed_11	seed_23	seed_pair_ari	0.9997002470488495	False	4690	1	0.00021321961620469082
GSE267401	GSM8265211_CTC21P	M0_expr_kmeans	expression-only k-means	4	seed_11	seed_37	seed_pair_ari	0.9997002470488495	False	4690	1	0.00021321961620469082
GSE267401	GSM8265211_CTC21P	M0_expr_kmeans	expression-only k-means	6	seed_11	seed_23	seed_pair_ari	0.9980467753713929	False	4690	5	0.0010660980810234541
GSE267401	GSM8265211_CTC21P	M0_expr_kmeans	expression-only k-means	6	seed_11	seed_37	seed_pair_ari	1.0	False	4690	0	0.0
GSE267401	GSM8265212_CTC21M	M0_expr_kmeans	expression-only k-means	4	seed_11	seed_23	seed_pair_ari	0.9893424365281229	False	3884	13	0.0033470648815653965
GSE267401	GSM8265212_CTC21M	M0_expr_kmeans	expression-only k-means	4	seed_11	seed_37	seed_pair_ari	0.9899684886074922	False	3884	12	0.003089598352214212
GSE267401	GSM8265212_CTC21M	M0_expr_kmeans	expression-only k-means	6	seed_11	seed_23	seed_pair_ari	0.9505193282368322	False	3884	80	0.02059732234809475
GSE267401	GSM8265212_CTC21M	M0_expr_kmeans	expression-only k-means	6	seed_11	seed_37	seed_pair_ari	0.8996156225111807	False	3884	163	0.04196704428424305
GSE267401	GSM8265213_CTC17P	M0_expr_kmeans	expression-only k-means	4	seed_11	seed_23	seed_pair_ari	0.926547057513446	False	3721	89	0.02391830153184628
GSE267401	GSM8265213_CTC17P	M0_expr_kmeans	expression-only k-means	4	seed_11	seed_37	seed_pair_ari	0.9952457818592992	False	3721	5	0.0013437248051599033
